,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
White and Asian,"14,446","±2,478",0.3%,±0.1,"11,989","±2,347",1.6%,±0.3,"62,786","±5,925",0.9%,±0.1,"9,614","±2,328",0.3%,±0.1,"611,518","±16,468",1.5%,±0.1,"55,654","±4,394",1.0%,±0.1,"22,678","±3,335",0.6%,±0.1,"5,604","±1,526",0.6%,±0.2,"7,053","±1,279",1.0%,±0.2,"116,163","±8,269",0.5%,±0.1,"53,685","±5,757",0.5%,±0.1,"76,957","±6,437",5.4%,±0.5,"14,431","±2,523",0.8%,±0.1,"86,933","±5,758",0.7%,±0.1,"26,265","±3,927",0.4%,±0.1,"16,783","±2,875",0.5%,±0.1,"16,622","±2,791",0.6%,±0.1,"15,706","±2,512",0.4%,±0.1,"12,626","±2,716",0.3%,±0.1,"6,710","±1,390",0.5%,±0.1,"53,553","±5,071",0.9%,±0.1,"59,579","±4,974",0.9%,±0.1,"54,495","±4,704",0.5%,±0.1,"38,297","±4,147",0.7%,±0.1,"6,717","±2,149",0.2%,±0.1,"27,172","±3,655",0.4%,±0.1,"5,324","±1,085",0.5%,±0.1,"10,695","±1,865",0.6%,±0.1,"36,569","±4,167",1.2%,±0.1,"10,080","±1,955",0.7%,±0.1,"62,536","±5,344",0.7%,±0.1,"10,277","±2,023",0.5%,±0.1,"129,542","±8,068",0.7%,±0.1,"49,945","±5,840",0.5%,±0.1,"4,955","±2,047",0.7%,±0.3,"55,583","±4,826",0.5%,±0.1,"14,964","±1,946",0.4%,±0.1,"49,794","±3,823",1.2%,±0.1,"60,849","±5,738",0.5%,±0.1,"7,802","±1,894",0.7%,±0.2,"17,552","±2,946",0.3%,±0.1,"2,257",±860,0.3%,±0.1,"28,119","±3,390",0.4%,±0.1,"158,222","±10,836",0.5%,±0.1,"30,520","±3,827",1.0%,±0.1,"5,750","±2,809",0.9%,±0.5,"94,105","±6,563",1.1%,±0.1,"140,753","±8,380",1.8%,±0.1,"3,678","±1,071",0.2%,±0.1,"26,491","±3,134",0.5%,±0.1,"2,193",±727,0.4%,±0.1,"1,193","±1,088",0.0%,±0.1
Black or African American and American Indian and Alaska Native,"1,663",±734,0.0%,±0.1,"1,208",±762,0.2%,±0.1,"7,782","±2,594",0.1%,±0.1,"2,596","±1,567",0.1%,±0.1,"33,957","±6,001",0.1%,±0.1,"4,442","±1,714",0.1%,±0.1,"5,444","±2,212",0.2%,±0.1,428,±306,0.0%,±0.1,"2,396","±1,204",0.3%,±0.2,"10,063","±2,119",0.0%,±0.1,"8,848","±2,438",0.1%,±0.1,388,±317,0.0%,±0.1,586,±588,0.0%,±0.1,"6,079","±1,797",0.0%,±0.1,"2,363","±1,083",0.0%,±0.1,388,±231,0.0%,±0.1,"3,223","±1,289",0.1%,±0.1,"1,708",±916,0.0%,±0.1,"7,179","±2,403",0.2%,±0.1,308,±208,0.0%,±0.1,"10,495","±2,392",0.2%,±0.1,"4,666","±2,357",0.1%,±0.1,"11,036","±2,145",0.1%,±0.1,"3,483","±1,436",0.1%,±0.1,"1,686",±784,0.1%,±0.1,"3,833","±1,532",0.1%,±0.1,755,±525,0.1%,±0.1,669,±394,0.0%,±0.1,"3,708","±1,292",0.1%,±0.1,36,±60,0.0%,±0.1,"7,972","±2,924",0.1%,±0.1,"2,170","±1,032",0.1%,±0.1,"19,784","±4,477",0.1%,±0.1,"19,634","±5,526",0.2%,±0.1,625,±516,0.1%,±0.1,"11,900","±3,471",0.1%,±0.1,"20,852","±4,032",0.5%,±0.1,926,±598,0.0%,±0.1,"13,744","±4,484",0.1%,±0.1,"1,092",±606,0.1%,±0.1,"4,829","±2,124",0.1%,±0.1,"1,082",±743,0.1%,±0.1,"5,281","±2,173",0.1%,±0.1,"21,053","±5,606",0.1%,±0.1,"1,085",±751,0.0%,±0.1,0,±161,0.0%,±0.1,"13,676","±4,058",0.2%,±0.1,"5,717","±2,232",0.1%,±0.1,"1,300",±957,0.1%,±0.1,"3,944","±1,382",0.1%,±0.1,17,±31,0.0%,±0.1,"1,216",±998,0.0%,±0.1
Race alone or in combination with one or more other races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,903,185",*****,"4,903,185",(X),"731,545",*****,"731,545",(X),"7,278,717",*****,"7,278,717",(X),"3,017,804",*****,"3,017,804",(X),"39,512,223",*****,"39,512,223",(X),"5,758,736",*****,"5,758,736",(X),"3,565,287",*****,"3,565,287",(X),"973,764",*****,"973,764",(X),"705,749",*****,"705,749",(X),"21,477,737",*****,"21,477,737",(X),"10,617,423",*****,"10,617,423",(X),"1,415,872",*****,"1,415,872",(X),"1,787,065",*****,"1,787,065",(X),"12,671,821",*****,"12,671,821",(X),"6,732,219",*****,"6,732,219",(X),"3,155,070",*****,"3,155,070",(X),"2,913,314",*****,"2,913,314",(X),"4,467,673",*****,"4,467,673",(X),"4,648,794",*****,"4,648,794",(X),"1,344,212",*****,"1,344,212",(X),"6,045,680",*****,"6,045,680",(X),"6,892,503",*****,"6,892,503",(X),"9,986,857",*****,"9,986,857",(X),"5,639,632",*****,"5,639,632",(X),"2,976,149",*****,"2,976,149",(X),"6,137,428",*****,"6,137,428",(X),"1,068,778",*****,"1,068,778",(X),"1,934,408",*****,"1,934,408",(X),"3,080,156",*****,"3,080,156",(X),"1,359,711",*****,"1,359,711",(X),"8,882,190",*****,"8,882,190",(X),"2,096,829",*****,"2,096,829",(X),"19,453,561",*****,"19,453,561",(X),"10,488,084",*****,"10,488,084",(X),"762,062",*****,"762,062",(X),"11,689,100",*****,"11,689,100",(X),"3,956,971",*****,"3,956,971",(X),"4,217,737",*****,"4,217,737",(X),"12,801,989",*****,"12,801,989",(X),"1,059,361",*****,"1,059,361",(X),"5,148,714",*****,"5,148,714",(X),"884,659",*****,"884,659",(X),"6,829,174",*****,"6,829,174",(X),"28,995,881",*****,"28,995,881",(X),"3,205,958",*****,"3,205,958",(X),"623,989",*****,"623,989",(X),"8,535,519",*****,"8,535,519",(X),"7,614,893",*****,"7,614,893",(X),"1,792,147",*****,"1,792,147",(X),"5,822,434",*****,"5,822,434",(X),"578,759",*****,"578,759",(X),"3,193,694",*****,"3,193,694",(X)
White,"3,409,415","±10,159",69.5%,±0.2,"521,962","±5,633",71.4%,±0.8,"5,947,783","±20,290",81.7%,±0.3,"2,391,900","±9,991",79.3%,±0.3,"25,133,071","±73,816",63.6%,±0.2,"5,029,314","±15,659",87.3%,±0.3,"2,772,139","±14,610",77.8%,±0.4,"686,096","±6,466",70.5%,±0.7,"318,457","±5,429",45.1%,±0.8,"16,553,934","±33,669",77.1%,±0.2,"6,363,129","±21,382",59.9%,±0.2,"582,436","±10,202",41.1%,±0.7,"1,652,946","±8,337",92.5%,±0.5,"9,353,507","±29,049",73.8%,±0.2,"5,732,778","±15,151",85.2%,±0.2,"2,900,114","±7,177",91.9%,±0.2,"2,537,764","±9,981",87.1%,±0.3,"3,971,124","±8,390",88.9%,±0.2,"2,954,143","±9,857",63.5%,±0.2,"1,289,759","±3,725",95.9%,±0.3,"3,467,089","±15,279",57.3%,±0.3,"5,525,268","±20,747",80.2%,±0.3,"8,091,386","±15,342",81.0%,±0.2,"4,800,334","±12,946",85.1%,±0.2,"1,766,642","±8,322",59.4%,±0.3,"5,184,435","±10,776",84.5%,±0.2,"973,711","±4,459",91.1%,±0.4,"1,715,918","±6,927",88.7%,±0.4,"2,105,913","±17,394",68.4%,±0.6,"1,287,518","±4,579",94.7%,±0.3,"6,174,937","±24,239",69.5%,±0.3,"1,610,185","±15,475",76.8%,±0.7,"12,796,656","±32,178",65.8%,±0.2,"7,393,223","±20,882",70.5%,±0.2,"677,907","±4,006",89.0%,±0.5,"9,765,556","±17,104",83.5%,±0.1,"3,135,648","±11,613",79.2%,±0.3,"3,717,165","±16,926",88.1%,±0.4,"10,483,806","±20,691",81.9%,±0.2,"869,057","±9,698",82.0%,±0.9,"3,544,015","±13,841",68.8%,±0.3,"766,781","±3,331",86.7%,±0.4,"5,413,418","±11,916",79.3%,±0.2,"21,995,420","±47,954",75.9%,±0.2,"2,893,306","±11,714",90.2%,±0.4,"600,353","±2,998",96.2%,±0.5,"5,994,267","±17,723",70.2%,±0.2,"6,056,387","±18,967",79.5%,±0.2,"1,697,080","±3,690",94.7%,±0.2,"5,088,607","±12,394",87.4%,±0.2,"540,317","±3,087",93.4%,±0.5,"2,275,620","±16,245",71.3%,±0.5
Black or African American,"1,364,474","±5,981",27.8%,±0.1,"34,639","±1,971",4.7%,±0.3,"434,612","±6,339",6.0%,±0.1,"502,913","±5,771",16.7%,±0.2,"2,782,446","±16,038",7.0%,±0.1,"313,737","±5,106",5.4%,±0.1,"470,791","±8,610",13.2%,±0.2,"237,780","±2,271",24.4%,±0.2,"333,312","±3,874",47.2%,±0.5,"3,772,874","±19,681",17.6%,±0.1,"3,556,697","±10,727",33.5%,±0.1,"49,041","±3,357",3.5%,±0.2,"21,666","±1,805",1.2%,±0.1,"1,951,681","±8,821",15.4%,±0.1,"740,150","±4,904",11.0%,±0.1,"162,710","±3,730",5.2%,±0.1,"214,714","±4,039",7.4%,±0.1,"424,716","±6,419",9.5%,±0.1,"1,554,297","±7,179",33.4%,±0.2,"32,313","±1,254",2.4%,±0.1,"1,946,932","±6,753",32.2%,±0.1,"684,786","±10,387",9.9%,±0.2,"1,528,779","±5,735",15.3%,±0.1,"454,116","±4,444",8.1%,±0.1,"1,156,497","±5,290",38.9%,±0.2,"792,197","±6,306",12.9%,±0.1,"14,608","±2,459",1.4%,±0.2,"117,408","±2,579",6.1%,±0.1,"347,489","±5,530",11.3%,±0.2,"30,557","±1,504",2.2%,±0.1,"1,339,574","±9,931",15.1%,±0.1,"70,254","±5,878",3.4%,±0.3,"3,424,002","±20,211",17.6%,±0.1,"2,424,132","±8,372",23.1%,±0.1,"30,067","±3,078",3.9%,±0.4,"1,686,729","±6,975",14.4%,±0.1,"365,883","±4,336",9.2%,±0.1,"124,502","±3,283",3.0%,±0.1,"1,649,737","±11,233",12.9%,±0.1,"101,579","±6,515",9.6%,±0.6,"1,441,530","±7,354",28.0%,±0.1,"26,679","±2,165",3.0%,±0.2,"1,228,973","±6,078",18.0%,±0.1,"3,908,287","±18,589",13.5%,±0.1,"61,766","±2,956",1.9%,±0.1,"13,042","±1,346",2.1%,±0.2,"1,820,891","±9,336",21.3%,±0.1,"429,718","±6,203",5.6%,±0.1,"86,426","±3,356",4.8%,±0.2,"438,719","±3,960",7.5%,±0.1,"12,428","±1,900",2.1%,±0.3,"609,279","±12,553",19.1%,±0.4
American Indian and Alaska Native,"53,674","±4,148",1.1%,±0.1,"147,358","±2,099",20.1%,±0.3,"412,256","±10,170",5.7%,±0.1,"54,059","±3,491",1.8%,±0.1,"772,394","±23,879",2.0%,±0.1,"135,472","±7,948",2.4%,±0.1,"36,229","±4,604",1.0%,±0.1,"9,307","±1,878",1.0%,±0.2,"6,818","±1,790",1.0%,±0.3,"174,845","±9,881",0.8%,±0.1,"91,801","±8,590",0.9%,±0.1,"31,936","±4,393",2.3%,±0.3,"43,756","±3,129",2.4%,±0.2,"101,823","±7,238",0.8%,±0.1,"53,972","±4,501",0.8%,±0.1,"24,157","±2,564",0.8%,±0.1,"66,174","±4,640",2.3%,±0.2,"27,768","±3,080",0.6%,±0.1,"62,087","±5,313",1.3%,±0.1,"21,048","±2,296",1.6%,±0.2,"55,949","±4,849",0.9%,±0.1,"50,888","±4,337",0.7%,±0.1,"149,052","±5,737",1.5%,±0.1,"114,350","±4,945",2.0%,±0.1,"25,154","±3,626",0.8%,±0.1,"77,887","±4,934",1.3%,±0.1,"90,259","±3,340",8.4%,±0.3,"34,247","±2,548",1.8%,±0.1,"69,491","±5,197",2.3%,±0.2,"11,586","±1,530",0.9%,±0.1,"57,278","±6,686",0.6%,±0.1,"226,281","±5,506",10.8%,±0.3,"196,234","±10,463",1.0%,±0.1,"208,829","±9,171",2.0%,±0.1,"52,745","±2,385",6.9%,±0.3,"97,330","±7,502",0.8%,±0.1,"540,542","±5,788",13.7%,±0.1,"129,081","±6,197",3.1%,±0.1,"92,251","±7,700",0.7%,±0.1,"13,827","±2,852",1.3%,±0.3,"47,908","±4,142",0.9%,±0.1,"92,709","±2,018",10.5%,±0.2,"58,662","±4,788",0.9%,±0.1,"350,100","±16,703",1.2%,±0.1,"57,986","±3,460",1.8%,±0.1,"9,006","±1,116",1.4%,±0.2,"76,902","±6,727",0.9%,±0.1,"228,712","±8,259",3.0%,±0.1,"11,575","±2,268",0.6%,±0.1,"92,246","±3,681",1.6%,±0.1,"19,199","±1,959",3.3%,±0.3,"13,738","±2,936",0.4%,±0.1
Asian,"87,434","±2,945",1.8%,±0.1,"61,551","±1,365",8.4%,±0.2,"331,649","±4,098",4.6%,±0.1,"59,114","±3,219",2.0%,±0.1,"6,762,404","±15,069",17.1%,±0.1,"263,806","±4,473",4.6%,±0.1,"198,207","±1,957",5.6%,±0.1,"45,365","±1,325",4.7%,±0.1,"38,077","±1,119",5.4%,±0.2,"787,637","±11,252",3.7%,±0.1,"523,612","±7,901",4.9%,±0.1,"801,987","±6,430",56.6%,±0.5,"44,416","±2,908",2.5%,±0.2,"834,455","±4,978",6.6%,±0.1,"206,288","±4,042",3.1%,±0.1,"95,994","±3,128",3.0%,±0.1,"108,624","±2,211",3.7%,±0.1,"94,285","±3,947",2.1%,±0.1,"99,072","±3,912",2.1%,±0.1,"23,516",±958,1.7%,±0.1,"463,258","±3,831",7.7%,±0.1,"548,125","±4,110",8.0%,±0.1,"394,895","±2,814",4.0%,±0.1,"333,624","±2,508",5.9%,±0.1,"40,448","±3,352",1.4%,±0.1,"162,980","±3,380",2.7%,±0.1,"17,354","±1,970",1.6%,±0.2,"62,532","±1,883",3.2%,±0.1,"323,433","±4,286",10.5%,±0.1,"47,854","±1,598",3.5%,±0.1,"953,119","±4,849",10.7%,±0.1,"53,384","±3,649",2.5%,±0.2,"1,889,234","±7,443",9.7%,±0.1,"382,201","±5,936",3.6%,±0.1,"16,308","±1,622",2.1%,±0.2,"348,025","±4,068",3.0%,±0.1,"114,316","±2,744",2.9%,±0.1,"263,017","±3,066",6.2%,±0.1,"536,892","±3,444",4.2%,±0.1,"48,037","±2,773",4.5%,±0.3,"111,414","±2,858",2.2%,±0.1,"14,395","±2,340",1.6%,±0.3,"164,002","±3,982",2.4%,±0.1,"1,678,495","±10,291",5.8%,±0.1,"118,169","±2,676",3.7%,±0.1,"15,149","±1,264",2.4%,±0.2,"690,204","±4,988",8.1%,±0.1,"883,108","±5,047",11.6%,±0.1,"20,033","±1,936",1.1%,±0.1,"201,512","±3,179",3.5%,±0.1,"8,673","±2,143",1.5%,±0.4,"8,734","±3,006",0.3%,±0.1
Native Hawaiian and Other Pacific Islander,"5,386","±1,448",0.1%,±0.1,"13,352","±1,195",1.8%,±0.2,"31,725","±2,860",0.4%,±0.1,"14,051","±1,988",0.5%,±0.1,"334,351","±12,904",0.8%,±0.1,"23,731","±3,691",0.4%,±0.1,"4,377","±1,669",0.1%,±0.1,"1,252",±842,0.1%,±0.1,662,±441,0.1%,±0.1,"45,992","±5,951",0.2%,±0.1,"17,766","±4,232",0.2%,±0.1,"354,987","±9,874",25.1%,±0.7,"7,130","±2,358",0.4%,±0.1,"16,155","±2,345",0.1%,±0.1,"8,652","±2,707",0.1%,±0.1,"5,051","±1,478",0.2%,±0.1,"5,752","±1,719",0.2%,±0.1,"6,874","±2,234",0.2%,±0.1,"4,313","±1,337",0.1%,±0.1,"1,177",±618,0.1%,±0.1,"10,564","±2,210",0.2%,±0.1,"9,306","±1,834",0.1%,±0.1,"8,522","±1,689",0.1%,±0.1,"9,728","±2,025",0.2%,±0.1,"1,638",±998,0.1%,±0.1,"15,817","±3,372",0.3%,±0.1,"4,170","±1,703",0.4%,±0.2,"4,380","±1,105",0.2%,±0.1,"42,865","±4,043",1.4%,±0.1,"2,440","±1,164",0.2%,±0.1,"11,855","±2,743",0.1%,±0.1,"4,029","±1,812",0.2%,±0.1,"32,965","±4,273",0.2%,±0.1,"18,026","±3,451",0.2%,±0.1,"3,073","±1,631",0.4%,±0.2,"17,557","±4,450",0.2%,±0.1,"12,902","±2,833",0.3%,±0.1,"35,802","±3,923",0.8%,±0.1,"14,490","±3,171",0.1%,±0.1,"3,288","±1,626",0.3%,±0.2,"12,744","±5,590",0.2%,±0.1,"2,868","±1,631",0.3%,±0.2,"9,899","±3,079",0.1%,±0.1,"68,085","±6,700",0.2%,±0.1,"49,776","±3,110",1.6%,±0.1,608,±459,0.1%,±0.1,"16,638","±2,408",0.2%,±0.1,"100,352","±5,384",1.3%,±0.1,"1,710",±793,0.1%,±0.1,"7,925","±2,146",0.1%,±0.1,"2,060",±879,0.4%,±0.2,349,±233,0.0%,±0.1
Some other race,"81,472","±7,335",1.7%,±0.1,"15,700","±4,116",2.1%,±0.6,"422,541","±20,180",5.8%,±0.3,"82,974","±8,556",2.7%,±0.3,"5,895,002","±71,599",14.9%,±0.2,"248,621","±15,533",4.3%,±0.3,"228,411","±15,107",6.4%,±0.4,"26,576","±5,104",2.7%,±0.5,"34,027","±5,369",4.8%,±0.8,"828,037","±26,862",3.9%,±0.1,"368,840","±19,084",3.5%,±0.2,"44,491","±6,201",3.1%,±0.4,"80,118","±7,509",4.5%,±0.4,"796,594","±28,047",6.3%,±0.2,"175,969","±13,251",2.6%,±0.2,"39,087","±4,929",1.2%,±0.2,"97,606","±7,317",3.4%,±0.3,"53,286","±5,474",1.2%,±0.1,"76,113","±7,874",1.6%,±0.2,"7,973","±1,752",0.6%,±0.1,"328,213","±14,023",5.4%,±0.2,"340,401","±18,472",4.9%,±0.3,"140,058","±10,778",1.4%,±0.1,"128,643","±9,067",2.3%,±0.2,"31,875","±4,491",1.1%,±0.2,"89,385","±8,010",1.5%,±0.1,"10,226","±2,629",1.0%,±0.2,"58,108","±6,058",3.0%,±0.3,"349,520","±16,947",11.3%,±0.6,"12,038","±3,652",0.9%,±0.3,"633,898","±22,549",7.1%,±0.3,"211,040","±15,886",10.1%,±0.8,"1,826,106","±33,636",9.4%,±0.2,"387,557","±17,591",3.7%,±0.2,"7,959","±2,258",1.0%,±0.3,"148,342","±10,818",1.3%,±0.1,"106,233","±8,083",2.7%,±0.2,"175,072","±15,164",4.2%,±0.4,"386,035","±18,506",3.0%,±0.1,"73,269","±8,684",6.9%,±0.8,"127,224","±10,005",2.5%,±0.2,"6,973","±1,594",0.8%,±0.2,"123,704","±10,732",1.8%,±0.2,"1,898,004","±45,035",6.5%,±0.2,"142,626","±10,408",4.4%,±0.3,"2,504",±864,0.4%,±0.1,"283,087","±14,282",3.3%,±0.2,"419,447","±16,523",5.5%,±0.2,"9,790","±2,244",0.5%,±0.1,"139,326","±9,374",2.4%,±0.2,"14,143","±2,545",2.4%,±0.4,"522,308","±15,685",16.4%,±0.5
HISPANIC OR LATINO AND RACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,903,185",*****,"4,903,185",(X),"731,545",*****,"731,545",(X),"7,278,717",*****,"7,278,717",(X),"3,017,804",*****,"3,017,804",(X),"39,512,223",*****,"39,512,223",(X),"5,758,736",*****,"5,758,736",(X),"3,565,287",*****,"3,565,287",(X),"973,764",*****,"973,764",(X),"705,749",*****,"705,749",(X),"21,477,737",*****,"21,477,737",(X),"10,617,423",*****,"10,617,423",(X),"1,415,872",*****,"1,415,872",(X),"1,787,065",*****,"1,787,065",(X),"12,671,821",*****,"12,671,821",(X),"6,732,219",*****,"6,732,219",(X),"3,155,070",*****,"3,155,070",(X),"2,913,314",*****,"2,913,314",(X),"4,467,673",*****,"4,467,673",(X),"4,648,794",*****,"4,648,794",(X),"1,344,212",*****,"1,344,212",(X),"6,045,680",*****,"6,045,680",(X),"6,892,503",*****,"6,892,503",(X),"9,986,857",*****,"9,986,857",(X),"5,639,632",*****,"5,639,632",(X),"2,976,149",*****,"2,976,149",(X),"6,137,428",*****,"6,137,428",(X),"1,068,778",*****,"1,068,778",(X),"1,934,408",*****,"1,934,408",(X),"3,080,156",*****,"3,080,156",(X),"1,359,711",*****,"1,359,711",(X),"8,882,190",*****,"8,882,190",(X),"2,096,829",*****,"2,096,829",(X),"19,453,561",*****,"19,453,561",(X),"10,488,084",*****,"10,488,084",(X),"762,062",*****,"762,062",(X),"11,689,100",*****,"11,689,100",(X),"3,956,971",*****,"3,956,971",(X),"4,217,737",*****,"4,217,737",(X),"12,801,989",*****,"12,801,989",(X),"1,059,361",*****,"1,059,361",(X),"5,148,714",*****,"5,148,714",(X),"884,659",*****,"884,659",(X),"6,829,174",*****,"6,829,174",(X),"28,995,881",*****,"28,995,881",(X),"3,205,958",*****,"3,205,958",(X),"623,989",*****,"623,989",(X),"8,535,519",*****,"8,535,519",(X),"7,614,893",*****,"7,614,893",(X),"1,792,147",*****,"1,792,147",(X),"5,822,434",*****,"5,822,434",(X),"578,759",*****,"578,759",(X),"3,193,694",*****,"3,193,694",(X)
Hispanic or Latino (of any race),"219,296","±3,767",4.5%,±0.1,"52,548",±110,7.2%,±0.1,"2,310,592",*****,31.7%,*****,"231,951","±2,662",7.7%,±0.1,"15,574,882",*****,39.4%,*****,"1,256,903",*****,21.8%,*****,"600,954",*****,16.9%,*****,"93,390",*****,9.6%,*****,"79,477",*****,11.3%,*****,"5,663,629",±637,26.4%,±0.1,"1,042,642","±2,521",9.8%,±0.1,"150,864",*****,10.7%,*****,"229,494",*****,12.8%,*****,"2,216,300","±1,918",17.5%,±0.1,"485,554","±2,545",7.2%,±0.1,"197,482","±1,387",6.3%,±0.1,"354,804",±943,12.2%,±0.1,"168,017","±2,389",3.8%,±0.1,"250,203","±2,584",5.4%,±0.1,"23,067",±858,1.7%,±0.1,"643,171",±318,10.6%,±0.1,"853,735","±1,296",12.4%,±0.1,"525,973",±553,5.3%,±0.1,"314,217",±455,5.6%,±0.1,"90,143","±2,964",3.0%,±0.1,"264,334","±2,352",4.3%,±0.1,"40,328","±1,552",3.8%,±0.1,"219,472",±401,11.3%,±0.1,"900,599",*****,29.2%,*****,"54,182",±827,4.0%,±0.1,"1,856,845",*****,20.9%,*****,"1,032,950",*****,49.3%,*****,"3,749,257",±971,19.3%,±0.1,"1,022,995",±657,9.8%,±0.1,"30,486","±1,447",4.0%,±0.2,"467,589","±1,953",4.0%,±0.1,"438,106",*****,11.1%,*****,"566,839",*****,13.4%,*****,"997,830","±1,420",7.8%,±0.1,"172,643",*****,16.3%,*****,"298,478","±2,584",5.8%,±0.1,"33,018","±1,554",3.7%,±0.2,"389,127","±2,327",5.7%,±0.1,"11,524,842","±1,400",39.7%,±0.1,"462,054",*****,14.4%,*****,"12,408",±464,2.0%,±0.1,"828,154","±3,259",9.7%,±0.1,"991,723",*****,13.0%,*****,"26,823","±2,111",1.5%,±0.1,"412,769","±1,103",7.1%,±0.1,"58,607",*****,10.1%,*****,"3,134,759","±5,525",98.2%,±0.2
Mexican,"124,329","±7,602",2.5%,±0.2,"28,490","±3,593",3.9%,±0.5,"2,024,770","±19,255",27.8%,±0.3,"168,521","±7,324",5.6%,±0.2,"12,875,655","±47,548",32.6%,±0.1,"920,228","±13,686",16.0%,±0.2,"62,231","±8,778",1.7%,±0.2,"37,561","±5,559",3.9%,±0.6,"9,223","±2,114",1.3%,±0.3,"742,993","±32,559",3.5%,±0.2,"577,994","±21,351",5.4%,±0.2,"50,693","±5,949",3.6%,±0.4,"196,154","±4,443",11.0%,±0.2,"1,717,252","±19,894",13.6%,±0.2,"339,775","±11,229",5.0%,±0.2,"147,788","±6,049",4.7%,±0.2,"279,620","±7,328",9.6%,±0.3,"91,833","±5,755",2.1%,±0.1,"89,707","±7,559",1.9%,±0.2,"5,544","±1,433",0.4%,±0.1,"100,137","±9,557",1.7%,±0.2,"47,327","±5,795",0.7%,±0.1,"366,413","±9,432",3.7%,±0.1,"208,078","±7,392",3.7%,±0.1,"51,249","±4,719",1.7%,±0.2,"171,502","±6,705",2.8%,±0.1,"29,795","±1,939",2.8%,±0.2,"156,554","±7,783",8.1%,±0.4,"677,268","±14,246",22.0%,±0.5,"7,513","±2,350",0.6%,±0.2,"223,512","±14,716",2.5%,±0.2,"672,106","±16,694",32.1%,±0.8,"470,811","±21,894",2.4%,±0.1,"553,568","±16,653",5.3%,±0.2,"20,021","±2,171",2.6%,±0.3,"207,749","±9,341",1.8%,±0.1,"354,696","±7,030",9.0%,±0.2,"461,710","±10,695",10.9%,±0.3,"163,907","±15,267",1.3%,±0.1,"11,492","±3,648",1.1%,±0.3,"155,642","±11,267",3.0%,±0.2,"20,531","±2,445",2.3%,±0.3,"230,856","±11,452",3.4%,±0.2,"9,663,908","±50,623",33.3%,±0.2,"341,326","±10,510",10.6%,±0.3,"5,128",±898,0.8%,±0.1,"193,756","±14,444",2.3%,±0.2,"788,488","±12,478",10.4%,±0.2,"7,920","±1,953",0.4%,±0.1,"290,079","±9,324",5.0%,±0.2,"42,958","±2,934",7.4%,±0.5,"9,002","±1,865",0.3%,±0.1
