county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Chilton County, Alabama",,"44,055",48.7%,51.3%,95.0,6.3%,7.3%,6.0%,6.6%,5.6%,13.1%,13.3%,12.7%,6.7%,6.4%,9.4%,5.2%,1.4%,38.7,24.1%,79.1%,75.9%,72.0%,19.0%,16.0%,"33,420",48.5%,51.5%,94.0,"7,052",45.4%,54.6%,83.2,,"44,055",97.5%,2.5%,97.5%,83.6%,9.2%,0.8%,0.1%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.3%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.5%,2.5%,1.1%,0.7%,0.0%,0.2%,,"44,055",85.7%,10.8%,1.9%,0.6%,0.1%,3.7%,,"44,055",7.8%,6.9%,0.2%,0.0%,0.7%,92.2%,80.1%,9.2%,0.1%,0.4%,0.0%,0.1%,2.2%,0.0%,2.2%,"19,781",,"32,309",48.4%,51.6%
"Choctaw County, Alabama",,"12,925",47.5%,52.5%,90.6,5.3%,4.9%,6.2%,6.5%,5.0%,9.9%,11.0%,13.5%,7.9%,7.4%,12.8%,7.4%,2.3%,46.3,20.1%,82.7%,79.9%,75.9%,27.8%,22.6%,"10,322",46.3%,53.7%,86.3,"2,922",43.6%,56.4%,77.4,,"12,925",99.6%,0.4%,99.6%,56.8%,42.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.4%,0.1%,0.1%,0.0%,0.1%,,"12,925",57.0%,42.8%,0.3%,0.2%,0.0%,0.1%,,"12,925",0.4%,0.0%,0.2%,0.1%,0.1%,99.6%,56.4%,42.6%,0.1%,0.1%,0.0%,0.1%,0.4%,0.0%,0.4%,"7,359",,"10,286",46.3%,53.7%
"Clarke County, Alabama",,"24,128",47.3%,52.7%,89.6,5.7%,5.5%,6.5%,6.6%,6.2%,10.8%,11.8%,13.3%,7.6%,6.6%,10.7%,6.3%,2.4%,42.5,21.9%,81.0%,78.1%,74.6%,23.3%,19.4%,"18,841",46.5%,53.5%,86.8,"4,679",43.7%,56.3%,77.8,,"24,128",99.3%,0.7%,99.3%,53.0%,45.8%,0.1%,0.0%,0.0%,0.0%,0.0%,0.4%,0.1%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,0.5%,0.2%,0.1%,0.0%,,"24,128",53.7%,46.2%,0.3%,0.5%,0.0%,0.0%,,"24,128",0.3%,0.1%,0.2%,0.0%,0.1%,99.7%,52.7%,45.8%,0.1%,0.4%,0.0%,0.0%,0.6%,0.0%,0.6%,"12,784",,"18,827",46.5%,53.5%
"Clay County, Alabama",,"13,337",48.3%,51.7%,93.3,5.1%,5.1%,7.3%,6.4%,5.2%,11.3%,11.6%,13.1%,8.4%,6.4%,11.5%,6.5%,2.1%,43.3,20.8%,81.3%,79.2%,74.4%,24.7%,20.2%,"10,559",47.5%,52.5%,90.6,"2,698",44.8%,55.2%,81.1,,"13,337",99.3%,0.7%,99.3%,83.2%,15.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.7%,0.6%,0.1%,0.0%,0.0%,,"13,337",83.8%,16.2%,0.4%,0.2%,0.0%,0.1%,,"13,337",3.1%,2.3%,0.0%,0.1%,0.7%,96.9%,80.4%,15.5%,0.0%,0.2%,0.0%,0.1%,0.7%,0.0%,0.7%,"6,799",,"10,378",47.8%,52.2%
"Cleburne County, Alabama",,"14,916",49.0%,51.0%,96.1,5.7%,7.5%,5.6%,5.9%,5.1%,11.8%,11.6%,14.3%,6.6%,6.5%,11.4%,5.0%,3.0%,43.1,22.7%,80.1%,77.3%,74.7%,23.5%,19.4%,"11,533",48.5%,51.5%,94.3,"2,899",45.3%,54.7%,82.8,,"14,916",98.0%,2.0%,98.0%,93.9%,2.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,2.0%,1.2%,0.5%,0.2%,0.1%,,"14,916",95.7%,4.0%,0.7%,0.2%,0.0%,1.4%,,"14,916",2.5%,2.1%,0.1%,0.0%,0.3%,97.5%,92.7%,2.7%,0.1%,0.0%,0.0%,0.1%,1.9%,0.0%,1.9%,"6,844",,"11,396",48.4%,51.6%
"Coffee County, Alabama",,"51,662",49.3%,50.7%,97.3,6.2%,6.4%,7.0%,6.2%,5.8%,12.8%,12.9%,13.4%,7.0%,5.7%,9.6%,5.2%,1.7%,39.3,23.7%,78.9%,76.3%,73.0%,19.6%,16.5%,"39,403",48.6%,51.4%,94.7,"8,550",43.9%,56.1%,78.3,,"51,662",96.7%,3.3%,96.7%,75.7%,16.9%,1.2%,0.2%,0.0%,0.0%,0.0%,1.4%,0.0%,0.7%,0.2%,0.0%,0.4%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,3.3%,1.1%,1.0%,0.6%,0.4%,,"51,662",78.6%,18.6%,2.7%,2.2%,0.1%,1.4%,,"51,662",7.3%,2.8%,2.1%,0.1%,2.3%,92.7%,70.1%,16.8%,1.2%,1.4%,0.0%,0.1%,3.1%,0.0%,3.0%,"23,188",,"38,416",48.6%,51.4%
"Colbert County, Alabama",,"54,771",48.0%,52.0%,92.3,5.7%,6.0%,5.6%,5.7%,5.8%,12.0%,12.1%,13.4%,6.9%,7.3%,11.1%,6.2%,2.2%,42.4,21.1%,81.3%,78.9%,76.0%,24.0%,19.4%,"43,218",47.1%,52.9%,89.0,"10,644",42.7%,57.3%,74.5,,"54,771",98.0%,2.0%,98.0%,79.0%,16.2%,0.6%,0.4%,0.0%,0.0%,0.0%,0.5%,0.2%,0.0%,0.1%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,1.6%,2.0%,0.7%,0.5%,0.2%,0.0%,,"54,771",81.0%,17.0%,1.3%,0.9%,0.1%,1.9%,,"54,771",2.8%,2.0%,0.2%,0.0%,0.6%,97.2%,78.2%,16.1%,0.6%,0.5%,0.1%,0.1%,1.7%,0.0%,1.7%,"26,588",,"42,618",47.1%,52.9%
"Conecuh County, Alabama",,"12,394",49.0%,51.0%,96.2,5.6%,6.4%,5.2%,7.0%,4.5%,10.8%,10.6%,12.4%,6.4%,8.8%,13.8%,5.8%,2.5%,44.8,21.0%,81.4%,79.0%,74.5%,27.4%,22.2%,"9,790",47.4%,52.6%,90.2,"2,746",45.6%,54.4%,83.7,,"12,394",99.2%,0.8%,99.2%,50.7%,47.8%,0.2%,0.2%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,0.0%,0.1%,0.7%,0.0%,,"12,394",51.6%,47.8%,0.3%,1.1%,0.0%,0.0%,,"12,394",0.7%,0.7%,0.0%,0.0%,0.0%,99.3%,50.0%,47.8%,0.2%,0.5%,0.0%,0.0%,0.8%,0.0%,0.8%,"7,182",,"9,767",47.4%,52.6%
"Coosa County, Alabama",,"10,757",50.8%,49.2%,103.2,3.4%,4.1%,6.2%,5.3%,4.2%,10.1%,12.0%,14.4%,10.6%,7.0%,12.8%,7.6%,2.3%,48.4,16.7%,85.0%,83.3%,79.6%,26.3%,22.6%,"8,956",50.0%,50.0%,100.0,"2,430",46.6%,53.4%,87.4,,"10,757",100.0%,0.0%,100.0%,65.8%,33.6%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,,"10,757",65.8%,33.6%,0.1%,0.0%,0.0%,0.5%,,"10,757",1.0%,0.4%,0.2%,0.0%,0.5%,99.0%,64.8%,33.6%,0.1%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,"6,585",,"8,907",50.2%,49.8%
"Covington County, Alabama",,"37,200",48.3%,51.7%,93.6,5.8%,6.5%,5.8%,5.8%,5.4%,11.7%,10.9%,12.8%,7.0%,7.6%,11.5%,7.1%,2.2%,43.3,21.9%,80.6%,78.1%,74.9%,25.9%,20.8%,"29,037",47.4%,52.6%,90.2,"7,726",43.4%,56.6%,76.6,,"37,200",98.9%,1.1%,98.9%,84.6%,13.5%,0.1%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.1%,0.2%,1.1%,0.5%,0.4%,0.2%,0.0%,,"37,200",85.6%,14.1%,0.4%,0.7%,0.1%,0.2%,,"37,200",1.7%,0.7%,0.0%,0.1%,0.9%,98.3%,83.3%,13.4%,0.1%,0.4%,0.1%,0.0%,1.1%,0.0%,1.1%,"18,976",,"28,893",47.5%,52.5%
"Crenshaw County, Alabama",,"13,844",48.7%,51.3%,95.1,5.7%,6.2%,6.6%,6.0%,5.5%,12.1%,11.4%,13.0%,7.2%,7.5%,11.5%,5.4%,1.9%,41.7,22.4%,80.3%,77.6%,74.7%,23.9%,18.8%,"10,738",47.7%,52.3%,91.3,"2,609",43.2%,56.8%,76.2,,"13,844",96.9%,3.1%,96.9%,71.4%,23.3%,0.7%,0.0%,0.0%,0.0%,0.0%,1.3%,0.4%,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.2%,3.1%,2.4%,0.4%,0.0%,0.1%,,"13,844",74.2%,26.0%,1.3%,1.4%,0.1%,0.2%,,"13,844",0.8%,0.2%,0.2%,0.1%,0.3%,99.2%,71.0%,23.1%,0.7%,1.3%,0.1%,0.0%,3.1%,0.0%,3.1%,"6,815",,"10,614",47.5%,52.5%
"Cullman County, Alabama",,"82,853",49.2%,50.8%,96.8,6.2%,5.6%,6.8%,6.0%,5.7%,12.5%,12.2%,13.2%,6.8%,6.6%,10.8%,6.0%,1.5%,40.8,22.6%,80.1%,77.4%,73.8%,21.9%,18.2%,"64,148",48.9%,51.1%,95.7,"15,116",44.6%,55.4%,80.5,,"82,853",98.0%,2.0%,98.0%,95.1%,1.3%,0.3%,0.2%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,2.0%,0.4%,1.0%,0.3%,0.0%,,"82,853",97.0%,1.7%,1.3%,0.8%,0.1%,1.1%,,"82,853",4.4%,3.3%,0.2%,0.0%,0.8%,95.6%,91.9%,1.2%,0.3%,0.4%,0.0%,0.1%,1.8%,0.1%,1.7%,"37,842",,"62,992",48.7%,51.3%
"Dale County, Alabama",,"49,277",49.3%,50.7%,97.3,6.6%,6.7%,6.0%,6.1%,6.7%,14.5%,11.8%,12.2%,7.3%,5.8%,9.6%,5.2%,1.6%,37.3,23.1%,79.5%,76.9%,73.7%,19.4%,16.4%,"37,892",48.7%,51.3%,95.1,"8,081",44.4%,55.6%,79.9,,"49,277",96.7%,3.3%,96.7%,72.4%,20.3%,0.8%,0.2%,0.0%,0.0%,0.0%,1.4%,0.1%,0.0%,0.3%,0.3%,0.3%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,3.3%,1.1%,0.7%,0.5%,0.3%,,"49,277",75.0%,22.0%,1.9%,2.4%,0.1%,2.0%,,"49,277",6.5%,3.2%,1.9%,0.1%,1.3%,93.5%,68.6%,19.8%,0.6%,1.2%,0.0%,0.3%,3.0%,0.1%,2.9%,"23,103",,"37,106",49.0%,51.0%
"Dallas County, Alabama",,"39,149",46.1%,53.9%,85.5,6.1%,7.4%,6.2%,7.3%,6.1%,11.7%,11.2%,12.0%,7.7%,6.9%,10.4%,5.4%,1.6%,39.6,24.1%,78.4%,75.9%,71.6%,21.5%,17.4%,"29,720",44.7%,55.3%,80.9,"6,809",42.1%,57.9%,72.6,,"39,149",99.4%,0.6%,99.4%,27.9%,70.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.1%,0.6%,0.0%,0.3%,0.0%,0.0%,,"39,149",28.3%,71.0%,0.5%,0.6%,0.1%,0.2%,,"39,149",1.1%,0.9%,0.0%,0.0%,0.2%,98.9%,27.3%,70.4%,0.1%,0.6%,0.0%,0.0%,0.5%,0.0%,0.5%,"20,419",,"29,382",44.5%,55.5%
"DeKalb County, Alabama",,"71,310",49.5%,50.5%,98.1,6.0%,6.6%,7.5%,6.8%,5.8%,11.9%,12.5%,13.1%,6.9%,6.2%,10.1%,5.2%,1.4%,39.5,24.6%,78.7%,75.4%,71.8%,20.2%,16.7%,"53,800",48.8%,51.2%,95.4,"11,883",44.2%,55.8%,79.4,,"71,310",97.6%,2.4%,97.6%,85.4%,1.5%,1.2%,0.8%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.8%,0.0%,0.7%,0.0%,0.0%,8.6%,2.4%,0.4%,1.2%,0.3%,0.0%,,"71,310",87.9%,2.1%,2.6%,0.5%,0.8%,8.8%,,"71,310",14.6%,8.1%,0.1%,0.0%,6.4%,85.4%,80.4%,1.4%,1.1%,0.1%,0.2%,0.0%,2.1%,0.0%,2.1%,"31,309",,"49,663",48.2%,51.8%
"Elmore County, Alabama",,"81,144",48.3%,51.7%,93.6,5.8%,6.1%,6.5%,6.4%,6.1%,14.1%,13.4%,13.7%,6.9%,6.1%,9.2%,4.3%,1.4%,38.7,22.5%,80.3%,77.5%,74.0%,18.3%,14.9%,"62,915",47.7%,52.3%,91.1,"12,053",45.2%,54.8%,82.4,,"81,144",98.3%,1.7%,98.3%,75.3%,21.5%,0.3%,0.1%,0.0%,0.0%,0.1%,0.5%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,1.7%,0.5%,0.6%,0.4%,0.0%,,"81,144",76.9%,22.0%,0.9%,1.1%,0.1%,0.8%,,"81,144",3.0%,2.3%,0.3%,0.0%,0.3%,97.0%,73.2%,21.2%,0.3%,0.5%,0.0%,0.2%,1.6%,0.0%,1.6%,"34,165",,"62,008",47.7%,52.3%
"Escambia County, Alabama",,"37,057",50.9%,49.1%,103.6,5.7%,5.9%,7.0%,5.9%,5.8%,13.5%,12.7%,12.6%,6.6%,6.7%,10.2%,5.7%,1.8%,40.0,22.4%,80.4%,77.6%,74.4%,21.4%,17.7%,"28,769",51.1%,48.9%,104.5,"6,566",43.1%,56.9%,75.8,,"37,057",99.0%,1.0%,99.0%,62.2%,32.1%,4.0%,0.1%,0.0%,0.0%,0.0%,0.3%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.3%,1.0%,0.4%,0.4%,0.0%,0.1%,,"37,057",63.1%,32.6%,4.6%,0.3%,0.2%,0.4%,,"37,057",2.3%,1.9%,0.1%,0.0%,0.4%,97.7%,60.2%,32.0%,4.0%,0.3%,0.1%,0.1%,0.9%,0.0%,0.9%,"16,586",,"28,700",51.0%,49.0%
"Etowah County, Alabama",,"102,748",48.2%,51.8%,93.2,5.8%,5.9%,6.0%,6.1%,6.1%,11.9%,12.3%,13.5%,7.0%,6.7%,11.1%,5.8%,1.9%,41.4,21.6%,81.0%,78.4%,74.9%,22.8%,18.7%,"80,579",47.5%,52.5%,90.4,"19,257",42.9%,57.1%,75.1,,"102,748",98.2%,1.8%,98.2%,79.8%,15.9%,0.6%,0.1%,0.0%,0.0%,0.0%,0.7%,0.2%,0.1%,0.2%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,1.8%,0.8%,0.6%,0.1%,0.0%,,"102,748",81.6%,16.8%,1.3%,1.0%,0.0%,1.3%,,"102,748",3.9%,2.0%,0.4%,0.1%,1.3%,96.1%,77.9%,15.4%,0.4%,0.7%,0.0%,0.1%,1.6%,0.0%,1.6%,"47,704",,"78,975",47.4%,52.6%
"Fayette County, Alabama",,"16,494",49.3%,50.7%,97.4,5.3%,5.5%,6.6%,6.0%,5.6%,11.6%,11.4%,12.6%,7.2%,7.3%,12.1%,6.4%,2.3%,43.7,21.1%,81.4%,78.9%,75.3%,24.9%,20.8%,"13,014",47.8%,52.2%,91.7,"3,438",43.7%,56.3%,77.7,,"16,494",97.6%,2.4%,97.6%,85.3%,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.1%,0.1%,0.0%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.4%,1.4%,0.7%,0.0%,0.1%,,"16,494",87.4%,13.5%,0.8%,0.6%,0.0%,0.0%,,"16,494",1.8%,1.0%,0.0%,0.0%,0.8%,98.2%,84.5%,11.2%,0.0%,0.5%,0.0%,0.0%,2.0%,0.0%,2.0%,"8,505",,"12,985",47.9%,52.1%
"Franklin County, Alabama",,"31,466",49.8%,50.2%,99.3,7.1%,6.1%,7.6%,6.2%,7.0%,12.9%,11.6%,12.6%,5.5%,6.6%,9.7%,5.2%,2.0%,38.6,25.1%,77.4%,74.9%,71.2%,21.0%,16.9%,"23,582",49.4%,50.6%,97.8,"5,304",44.2%,55.8%,79.2,,"31,466",98.7%,1.3%,98.7%,83.0%,4.4%,1.3%,0.1%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,9.6%,1.3%,0.1%,0.9%,0.0%,0.0%,,"31,466",84.3%,4.7%,2.2%,0.6%,0.0%,9.7%,,"31,466",17.2%,8.5%,0.0%,0.2%,8.4%,82.8%,76.8%,4.3%,0.3%,0.4%,0.0%,0.0%,1.0%,0.0%,1.0%,"14,052",,"21,848",49.2%,50.8%
"Geneva County, Alabama",,"26,417",48.6%,51.4%,94.5,5.5%,6.5%,6.1%,6.2%,5.1%,11.1%,11.4%,13.9%,7.5%,6.7%,11.2%,6.6%,2.2%,43.2,22.0%,80.8%,78.0%,74.7%,23.2%,20.0%,"20,599",48.0%,52.0%,92.2,"5,275",44.1%,55.9%,78.8,,"26,417",98.4%,1.6%,98.4%,86.6%,9.6%,0.9%,0.4%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,1.6%,0.7%,0.6%,0.0%,0.0%,,"26,417",88.2%,10.3%,1.6%,0.5%,0.0%,1.0%,,"26,417",4.0%,3.2%,0.2%,0.2%,0.4%,96.0%,83.9%,9.4%,0.9%,0.4%,0.0%,0.0%,1.4%,0.0%,1.4%,"12,869",,"20,428",47.9%,52.1%
"Greene County, Alabama",,"8,324",46.2%,53.8%,85.9,6.9%,6.7%,5.0%,4.5%,7.2%,12.0%,9.6%,10.9%,7.8%,7.8%,11.9%,7.5%,1.9%,40.9,22.6%,78.6%,77.4%,75.7%,27.4%,21.3%,"6,440",46.0%,54.0%,85.1,"1,773",42.2%,57.8%,73.1,,"8,324",97.3%,2.7%,97.3%,17.3%,79.5%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,2.7%,0.0%,0.0%,0.4%,0.0%,,"8,324",19.6%,81.8%,2.3%,0.4%,0.0%,0.5%,,"8,324",1.7%,0.1%,1.5%,0.0%,0.1%,98.3%,17.2%,79.5%,0.4%,0.0%,0.0%,0.0%,1.1%,0.4%,0.7%,"5,112",,"6,433",46.0%,54.0%
"Hale County, Alabama",,"14,809",47.5%,52.5%,90.5,6.6%,6.1%,6.5%,7.7%,6.1%,11.0%,10.6%,12.2%,6.6%,7.9%,10.9%,5.8%,2.1%,40.5,23.3%,79.6%,76.7%,71.5%,23.7%,18.8%,"11,355",46.0%,54.0%,85.2,"2,777",43.9%,56.1%,78.2,,"14,809",99.6%,0.4%,99.6%,39.5%,59.4%,0.2%,0.2%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.4%,0.4%,0.0%,0.0%,0.0%,,"14,809",40.0%,59.8%,0.2%,0.2%,0.0%,0.2%,,"14,809",0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,39.5%,59.4%,0.2%,0.2%,0.0%,0.2%,0.4%,0.0%,0.4%,"7,792",,"11,345",46.0%,54.0%
"Henry County, Alabama",,"17,133",48.6%,51.4%,94.4,5.2%,5.2%,6.8%,6.3%,5.5%,9.5%,12.4%,12.9%,7.1%,7.0%,13.4%,6.2%,2.5%,44.4,21.0%,82.0%,79.0%,75.5%,27.0%,22.1%,"13,537",47.4%,52.6%,90.2,"3,785",43.6%,56.4%,77.4,,"17,133",98.8%,1.2%,98.8%,70.7%,26.6%,0.2%,0.0%,0.0%,0.0%,0.0%,0.4%,0.2%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.8%,1.2%,0.2%,0.6%,0.1%,0.0%,,"17,133",71.9%,26.9%,0.8%,0.5%,0.2%,1.0%,,"17,133",2.6%,2.1%,0.1%,0.2%,0.2%,97.4%,69.2%,26.6%,0.2%,0.4%,0.1%,0.0%,1.0%,0.0%,1.0%,"9,155",,"13,482",47.3%,52.7%
"Houston County, Alabama",,"104,702",47.9%,52.1%,92.1,6.1%,6.2%,6.8%,6.2%,5.7%,13.0%,12.4%,13.0%,7.3%,6.1%,10.1%,5.3%,1.8%,40.1,23.3%,79.5%,76.7%,73.4%,20.7%,17.2%,"80,349",46.8%,53.2%,88.0,"18,052",43.0%,57.0%,75.5,,"104,702",97.8%,2.2%,97.8%,69.1%,26.9%,0.3%,0.1%,0.0%,0.0%,0.0%,0.9%,0.2%,0.2%,0.1%,0.0%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.6%,2.2%,0.9%,0.6%,0.2%,0.0%,,"104,702",71.1%,27.9%,1.1%,1.3%,0.1%,0.8%,,"104,702",3.3%,2.0%,0.4%,0.2%,0.8%,96.7%,66.5%,26.8%,0.3%,0.9%,0.0%,0.3%,2.0%,0.1%,1.9%,"47,457",,"79,144",46.6%,53.4%
