"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,468","3.2%","1.8%","3.5%","9.8%","14.8%","16.2%","26.0%","16.1%","6.9%","1.6%","75,278","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,317","17.2%","12.9%","12.4%","20.5%","9.9%","14.0%","5.1%","2.9%","0.8%","4.3%","27,942","54,971","","(X)","(X)","34.2%"
"Polk County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","18,033","7.8%","6.4%","9.9%","12.1%","14.3%","20.1%","10.2%","11.0%","4.4%","3.8%","49,279","65,557","","42.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,586","6.0%","4.4%","8.1%","9.6%","12.5%","22.6%","12.0%","14.9%","5.0%","4.9%","58,073","75,631","","(X)","45.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,051","2.1%","3.6%","5.6%","7.1%","12.2%","25.6%","14.7%","16.7%","6.0%","6.5%","65,940","86,851","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,447","15.9%","11.5%","15.5%","17.7%","17.3%","12.7%","5.0%","2.4%","0.8%","1.2%","28,208","37,294","","(X)","(X)","33.2%"
"Potter County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","44,380","8.4%","6.2%","13.6%","13.6%","14.1%","19.6%","9.2%","9.3%","2.4%","3.4%","42,528","60,595","","42.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","28,534","6.1%","3.0%","10.7%","11.9%","15.2%","22.4%","10.4%","12.2%","3.4%","4.6%","52,700","71,334","","(X)","45.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,995","1.8%","1.7%","5.9%","9.8%","15.9%","24.0%","13.6%","16.2%","4.8%","6.4%","64,416","86,864","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","15,846","15.0%","12.3%","19.4%","17.3%","12.0%","13.1%","6.0%","3.2%","0.7%","1.1%","26,484","38,390","","(X)","(X)","35.9%"
"Presidio County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,543","14.4%","18.3%","16.9%","12.6%","11.8%","11.7%","1.3%","12.6%","0.4%","0.0%","25,098","38,032","","11.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,375","7.7%","10.5%","13.5%","20.3%","12.7%","12.7%","0.0%","21.9%","0.7%","0.0%","33,417","49,073","","(X)","12.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","982","5.1%","11.1%","14.0%","15.5%","14.3%","10.8%","0.0%","28.4%","0.9%","0.0%","37,287","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,168","22.3%","27.5%","21.0%","4.5%","10.7%","10.7%","1.6%","1.7%","0.0%","0.0%","15,106","24,410","","(X)","(X)","11.8%"
"Rains County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,330","7.6%","2.3%","12.5%","11.3%","15.2%","12.7%","18.1%","12.9%","3.0%","4.3%","51,579","71,527","","36.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,062","2.5%","0.9%","8.6%","11.0%","13.9%","16.0%","20.2%","16.9%","4.3%","5.7%","69,225","84,095","","(X)","37.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,450","1.1%","0.7%","5.3%","9.7%","14.5%","15.3%","21.7%","20.6%","5.3%","5.6%","77,978","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,268","21.1%","6.0%","23.0%","12.6%","17.8%","6.0%","9.9%","2.6%","0.0%","0.9%","24,942","38,266","","(X)","(X)","30.4%"
"Randall County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","49,389","3.8%","2.6%","7.6%","9.2%","12.5%","19.1%","15.1%","18.1%","6.5%","5.7%","68,261","87,396","","30.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","33,768","1.9%","1.1%","4.8%","6.1%","9.7%","19.5%","17.2%","23.2%","8.8%","7.8%","84,353","103,524","","(X)","31.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","26,637","0.9%","0.8%","2.0%","4.0%","8.7%","18.2%","18.8%","27.1%","10.4%","9.2%","95,828","114,708","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","15,621","7.9%","6.0%","14.9%","16.5%","19.0%","17.9%","9.1%","6.2%","1.4%","1.0%","38,857","49,346","","(X)","(X)","28.8%"
"Reagan County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,084","4.4%","0.3%","8.5%","8.6%","11.2%","17.2%","19.5%","23.1%","4.4%","3.0%","74,868","79,512","","48.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","826","1.8%","0.4%","9.4%","8.8%","8.8%","17.3%","16.2%","28.0%","5.3%","3.9%","79,375","85,838","","(X)","55.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","656","2.3%","0.5%","8.4%","9.3%","10.2%","13.7%","15.7%","29.6%","6.7%","3.7%","83,542","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","258","12.8%","0.0%","5.4%","7.8%","18.6%","18.2%","29.8%","5.8%","1.6%","0.0%","53,472","57,895","","(X)","(X)","26.7%"
"Real County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,126","10.8%","6.7%","17.6%","13.9%","18.7%","14.5%","9.8%","4.9%","1.9%","1.2%","35,862","48,276","","23.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","675","3.7%","1.9%","15.6%","8.0%","20.9%","23.7%","12.9%","8.1%","3.1%","2.1%","49,950","63,596","","(X)","32.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","508","0.0%","0.0%","10.0%","6.7%","23.6%","29.7%","15.9%","7.1%","4.1%","2.8%","59,400","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","451","21.5%","15.1%","22.6%","20.6%","15.3%","4.9%","0.0%","0.0%","0.0%","0.0%","18,719","23,034","","(X)","(X)","8.0%"
"Red River County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,963","8.6%","11.1%","11.9%","13.6%","12.4%","19.0%","9.8%","10.3%","2.1%","1.1%","39,142","52,213","","38.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,284","7.1%","6.9%","9.6%","10.7%","11.0%","21.9%","12.9%","15.0%","3.2%","1.5%","52,079","62,941","","(X)","38.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,296","3.8%","3.3%","7.5%","10.3%","11.4%","22.5%","15.5%","18.9%","4.6%","2.2%","62,500","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,679","12.2%","19.4%","18.5%","19.1%","13.2%","14.7%","1.9%","1.0%","0.0%","0.2%","25,019","29,697","","(X)","(X)","38.8%"
"Reeves County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,518","11.5%","5.9%","8.4%","8.8%","14.0%","16.5%","16.5%","11.5%","4.3%","2.6%","53,311","65,457","","38.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,555","9.1%","3.0%","6.4%","10.7%","11.2%","17.8%","21.4%","12.4%","4.5%","3.6%","62,149","72,999","","(X)","38.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,831","4.8%","0.8%","5.6%","10.8%","8.4%","18.0%","28.9%","13.1%","4.9%","4.8%","75,512","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","963","18.2%","13.5%","14.2%","5.9%","21.6%","12.4%","2.2%","10.9%","1.1%","0.0%","29,728","42,195","","(X)","(X)","36.3%"
"Refugio County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,547","7.1%","7.5%","11.0%","10.0%","14.4%","22.3%","13.5%","8.7%","4.0%","1.6%","50,076","61,935","","34.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,741","5.2%","3.3%","9.0%","7.0%","14.6%","24.2%","19.1%","10.9%","4.8%","1.9%","61,142","68,245","","(X)","34.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,199","1.1%","1.4%","6.6%","4.8%","13.8%","25.9%","24.4%","12.8%","6.6%","2.8%","69,112","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","806","14.6%","14.4%","15.9%","15.6%","16.9%","15.4%","2.6%","2.9%","0.6%","1.1%","26,265","44,538","","(X)","(X)","31.9%"
"Roberts County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","301","4.7%","0.7%","7.0%","9.0%","14.3%","17.9%","13.0%","18.9%","11.0%","3.7%","68,750","81,712","","28.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","234","4.7%","0.0%","7.3%","6.0%","14.5%","17.5%","13.7%","20.5%","12.4%","3.4%","73,750","84,819","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","199","5.5%","0.0%","8.0%","3.5%","16.1%","16.1%","13.1%","20.6%","13.1%","4.0%","75,268","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","67","4.5%","3.0%","7.5%","19.4%","11.9%","19.4%","10.4%","13.4%","6.0%","4.5%","59,063","70,349","","(X)","(X)","10.4%"
"Robertson County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,444","7.3%","5.1%","10.4%","11.7%","14.2%","19.2%","9.6%","16.5%","2.4%","3.5%","52,928","67,904","","41.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,573","2.4%","3.4%","7.8%","10.0%","14.3%","21.8%","11.7%","21.3%","3.0%","4.2%","63,468","76,965","","(X)","44.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,332","0.5%","0.8%","6.1%","9.3%","13.4%","20.2%","12.6%","27.8%","3.6%","5.8%","74,703","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,871","19.2%","9.4%","18.7%","15.8%","13.3%","12.6%","3.6%","4.8%","1.1%","1.7%","26,358","43,527","","(X)","(X)","35.3%"
"Rockwall County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","33,032","1.9%","1.7%","3.8%","4.5%","8.9%","14.7%","14.0%","23.0%","13.2%","14.3%","100,920","122,912","","33.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","26,595","1.7%","0.5%","2.8%","3.6%","7.1%","12.8%","14.0%","25.4%","15.3%","16.8%","112,753","133,299","","(X)","33.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","22,634","0.3%","0.4%","1.3%","3.3%","6.3%","11.5%","14.0%","27.1%","16.9%","18.9%","121,688","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,437","4.7%","6.6%","10.0%","10.0%","16.7%","19.5%","14.9%","10.9%","3.5%","3.3%","52,543","72,968","","(X)","(X)","32.2%"
"Runnels County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,896","7.1%","6.3%","13.0%","12.8%","15.8%","16.7%","10.2%","10.6%","4.7%","2.8%","44,940","61,133","","30.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,691","5.6%","1.9%","11.1%","9.1%","19.6%","17.4%","11.9%","12.8%","6.8%","3.8%","55,034","71,393","","(X)","32.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,985","1.8%","1.9%","5.4%","7.2%","19.1%","21.5%","14.0%","15.0%","9.3%","4.8%","65,841","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,205","10.8%","16.2%","22.2%","19.7%","10.5%","10.4%","5.5%","4.1%","0.0%","0.6%","25,349","34,605","","(X)","(X)","23.8%"
"Rusk County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","18,108","6.0%","5.3%","10.4%","9.3%","15.0%","18.7%","13.7%","12.5%","4.3%","4.8%","55,234","72,751","","31.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,070","3.2%","2.4%","7.6%","8.8%","16.3%","20.2%","14.6%","15.4%","5.8%","5.7%","64,068","82,990","","(X)","32.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,024","1.8%","1.4%","5.9%","5.1%","14.3%","21.2%","17.5%","18.8%","7.0%","7.0%","75,492","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,038","14.0%","12.9%","18.7%","12.6%","10.2%","15.0%","9.8%","3.8%","0.7%","2.2%","27,039","42,990","","(X)","(X)","27.4%"
"Sabine County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,311","8.9%","7.0%","17.9%","16.1%","10.8%","15.1%","8.6%","8.9%","3.6%","3.1%","34,992","57,482","","36.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,940","7.8%","4.5%","14.5%","13.2%","9.8%","16.8%","11.3%","12.6%","5.3%","4.3%","50,185","69,252","","(X)","33.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,331","4.6%","3.8%","10.8%","13.0%","10.6%","18.8%","13.0%","14.4%","6.3%","4.8%","61,146","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,371","13.0%","11.1%","25.3%","22.1%","13.2%","11.1%","2.8%","0.9%","0.0%","0.5%","25,308","31,478","","(X)","(X)","41.7%"
"San Augustine County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,451","14.6%","7.1%","12.8%","10.4%","15.4%","15.5%","12.2%","8.2%","2.0%","1.8%","40,353","55,320","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,486","11.5%","5.1%","8.4%","9.6%","17.6%","17.7%","15.4%","9.8%","2.8%","2.1%","47,250","63,339","","(X)","42.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,680","7.0%","4.2%","6.6%","7.0%","15.1%","21.5%","18.9%","12.8%","4.1%","2.7%","57,857","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","965","22.6%","12.3%","25.3%","13.2%","12.6%","6.5%","5.4%","1.0%","0.0%","1.0%","20,132","32,403","","(X)","(X)","29.3%"
"San Jacinto County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,043","6.8%","6.8%","12.3%","15.1%","16.1%","15.4%","9.7%","10.6%","4.1%","3.2%","41,614","60,411","","45.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,680","3.3%","1.3%","8.9%","15.9%","16.8%","18.2%","12.5%","12.6%","6.1%","4.4%","54,384","73,069","","(X)","49.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,303","1.4%","0.1%","6.1%","16.3%","16.3%","19.4%","13.2%","14.4%","7.3%","5.4%","63,227","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,363","14.0%","17.4%","22.6%","12.2%","15.2%","8.3%","3.2%","6.6%","0.0%","0.6%","23,037","33,762","","(X)","(X)","34.4%"
"San Patricio County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","22,898","7.5%","4.8%","10.7%","9.1%","12.8%","17.5%","12.6%","14.3%","6.6%","4.2%","56,556","74,270","","31.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","16,848","5.0%","2.5%","8.0%","9.7%","12.4%","19.3%","13.3%","16.7%","8.2%","5.0%","63,337","82,424","","(X)","31.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,615","1.2%","0.9%","3.8%","7.1%","12.7%","19.6%","15.1%","21.9%","11.0%","6.6%","81,173","98,217","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,050","17.8%","12.2%","18.8%","8.2%","14.0%","10.6%","8.4%","6.0%","1.8%","2.2%","26,049","46,754","","(X)","(X)","28.3%"
"San Saba County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,082","7.1%","7.3%","13.0%","12.8%","12.9%","18.4%","12.2%","9.6%","5.1%","1.5%","45,083","64,486","","28.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,329","4.1%","0.7%","9.4%","11.0%","18.6%","23.3%","11.9%","15.0%","3.8%","2.2%","58,582","71,987","","(X)","28.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,064","3.1%","0.8%","4.6%","10.7%","17.6%","23.3%","14.8%","17.9%","4.8%","2.4%","64,363","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","753","12.6%","18.9%","20.6%","14.7%","7.7%","12.9%","4.9%","0.0%","7.3%","0.4%","23,239","48,578","","(X)","(X)","29.1%"
"Schleicher County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,075","9.6%","3.8%","11.7%","11.0%","13.6%","15.3%","18.6%","11.3%","3.9%","1.2%","53,229","61,890","","49.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","669","5.7%","0.4%","7.3%","6.7%","15.5%","22.4%","22.0%","13.9%","4.0%","1.9%","66,975","72,099","","(X)","47.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","598","6.4%","0.0%","6.9%","7.5%","16.4%","19.2%","22.7%","15.6%","4.5%","0.8%","66,400","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","406","16.0%","10.1%","19.5%","17.2%","10.3%","4.7%","11.3%","7.1%","3.7%","0.0%","26,452","43,924","","(X)","(X)","51.2%"
"Scurry County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,941","3.5%","5.9%","10.0%","14.1%","12.4%","17.3%","15.6%","13.3%","5.4%","2.6%","54,326","69,818","","30.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,004","0.3%","2.4%","9.6%","11.3%","9.8%","22.7%","18.9%","14.2%","7.2%","3.7%","67,450","80,722","","(X)","31.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,190","0.0%","0.5%","9.6%","10.6%","10.8%","20.0%","19.6%","16.9%","7.5%","4.5%","72,479","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,937","10.6%","13.1%","11.8%","20.8%","16.8%","8.6%","8.7%","8.7%","0.9%","0.1%","32,012","43,351","","(X)","(X)","27.1%"
"Shackelford County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,317","6.8%","7.2%","11.2%","7.6%","20.0%","20.7%","11.5%","8.6%","4.6%","1.7%","46,935","60,781","","43.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","870","2.3%","3.4%","6.0%","6.0%","27.2%","21.1%","14.1%","12.0%","6.0%","1.8%","55,500","71,794","","(X)","42.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","686","0.0%","0.9%","7.4%","5.1%","23.9%","20.6%","17.1%","15.2%","7.6%","2.3%","60,882","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","447","18.6%","11.6%","21.5%","10.7%","6.7%","19.0%","6.5%","2.0%","2.0%","1.3%","22,656","39,011","","(X)","(X)","43.6%"
"Shelby County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,293","10.7%","6.6%","12.5%","11.7%","15.7%","19.3%","6.8%","11.7%","1.7%","3.2%","42,522","57,887","","31.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,756","9.3%","3.1%","9.9%","11.1%","16.7%","21.3%","7.0%","15.1%","2.4%","4.0%","49,894","65,621","","(X)","33.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,763","2.3%","2.1%","8.5%","10.9%","16.8%","23.0%","7.4%","20.7%","3.1%","5.1%","59,415","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,537","16.2%","18.4%","19.6%","13.8%","13.5%","13.6%","2.0%","1.9%","0.0%","1.1%","20,618","32,745","","(X)","(X)","23.3%"
"Sherman County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,019","2.3%","2.3%","13.5%","12.1%","17.1%","18.3%","17.8%","10.2%","3.2%","3.3%","51,926","82,530","","38.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","754","3.7%","2.3%","5.7%","12.9%","15.9%","18.4%","20.2%","13.0%","4.4%","3.6%","63,194","94,957","","(X)","33.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","647","1.4%","2.2%","1.5%","12.2%","16.2%","19.6%","23.0%","14.5%","5.1%","4.2%","70,847","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","265","5.3%","2.3%","32.8%","13.6%","14.7%","15.5%","10.9%","2.3%","0.0%","2.6%","33,688","44,566","","(X)","(X)","47.2%"
"Smith County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","77,678","6.8%","4.1%","10.5%","8.6%","14.1%","18.6%","13.1%","13.8%","5.2%","5.2%","56,810","77,878","","37.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","53,919","3.8%","2.6%","7.8%","7.7%","13.0%","18.8%","15.4%","17.4%","6.6%","6.9%","69,572","90,997","","(X)","38.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","41,250","1.3%","1.3%","5.1%","6.1%","11.1%","19.1%","17.8%","21.6%","8.0%","8.5%","83,842","104,781","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","23,759","14.8%","8.2%","17.7%","11.0%","16.4%","17.0%","6.4%","5.2%","2.0%","1.2%","32,818","45,216","","(X)","(X)","32.6%"
"Somervell County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,123","5.6%","5.3%","11.7%","9.8%","9.3%","17.4%","8.3%","17.5%","10.3%","4.9%","60,632","79,424","","31.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,545","4.1%","8.6%","9.0%","6.7%","9.1%","16.0%","7.9%","22.1%","10.4%","6.0%","64,464","86,331","","(X)","28.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,960","0.9%","2.2%","4.7%","8.7%","9.3%","16.1%","10.3%","28.6%","11.4%","7.8%","96,102","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","578","12.1%","8.1%","18.0%","16.8%","10.0%","18.3%","9.9%","2.6%","4.2%","0.0%","30,000","42,900","","(X)","(X)","40.8%"
"Starr County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,188","13.4%","10.1%","20.0%","12.7%","14.6%","13.3%","6.4%","5.9%","1.8%","1.7%","30,387","47,269","","28.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,969","8.5%","8.8%","21.4%","13.2%","15.9%","14.2%","7.5%","6.3%","1.9%","2.2%","33,231","51,888","","(X)","31.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,860","4.0%","8.2%","17.3%","12.0%","16.5%","16.1%","9.5%","9.8%","3.1%","3.4%","41,856","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,219","36.1%","16.9%","15.6%","9.5%","8.9%","8.8%","2.4%","1.5%","0.4%","0.0%","13,667","23,989","","(X)","(X)","16.7%"
"Stephens County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,247","8.2%","8.2%","9.7%","12.2%","18.2%","14.8%","11.8%","10.2%","2.8%","4.0%","46,232","64,763","","39.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,283","8.5%","2.9%","7.5%","9.8%","19.5%","17.4%","14.5%","11.4%","3.6%","4.9%","52,639","69,473","","(X)","39.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,618","6.0%","1.4%","4.9%","7.1%","19.0%","18.9%","19.0%","13.8%","4.8%","5.1%","59,636","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","964","13.5%","20.6%","14.9%","17.9%","10.7%","6.7%","6.5%","6.4%","0.7%","1.9%","26,184","50,622","","(X)","(X)","39.0%"
"Sterling County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","458","2.2%","2.8%","2.2%","9.0%","23.8%","30.1%","5.9%","14.2%","7.6%","2.2%","59,868","73,677","","37.3%","(X)","(X)"
