"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"Van Buren County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,412","8.7%","5.0%","15.0%","10.9%","14.0%","18.2%","11.0%","13.1%","3.9%","0.0%","44,444","55,158","","41.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,614","2.4%","1.9%","11.5%","9.0%","15.1%","20.9%","15.4%","19.2%","4.6%","0.0%","61,696","67,016","","(X)","43.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,268","2.6%","1.4%","8.8%","8.0%","15.7%","20.5%","14.3%","22.9%","5.8%","0.0%","64,329","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","798","21.6%","11.4%","22.2%","15.3%","11.7%","14.8%","0.8%","2.4%","0.0%","0.0%","22,819","28,474","","(X)","(X)","38.1%"
"Warren County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,790","6.7%","7.4%","12.0%","10.5%","17.2%","19.7%","11.0%","10.3%","2.7%","2.5%","46,189","62,369","","36.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,306","4.0%","1.7%","9.4%","6.9%","18.0%","23.6%","14.5%","14.9%","3.3%","3.7%","59,105","77,211","","(X)","37.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,582","2.5%","0.3%","5.9%","6.1%","17.2%","25.1%","16.9%","18.4%","3.2%","4.4%","68,341","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,484","12.5%","18.7%","17.9%","17.1%","15.7%","12.7%","3.6%","1.3%","0.1%","0.3%","25,400","31,367","","(X)","(X)","33.2%"
"Washington County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","54,913","7.3%","6.0%","10.8%","10.4%","13.4%","17.5%","11.4%","12.7%","5.3%","5.1%","52,503","75,625","","37.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","33,693","3.8%","3.0%","6.9%","7.2%","12.6%","18.7%","15.0%","17.6%","7.8%","7.5%","71,843","96,029","","(X)","38.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","26,230","1.6%","2.1%","4.4%","5.2%","11.6%","18.5%","16.9%","21.1%","9.3%","9.3%","83,702","109,237","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","21,220","13.9%","11.0%","18.3%","15.7%","13.9%","14.9%","6.1%","4.2%","1.1%","1.0%","28,452","40,457","","(X)","(X)","34.1%"
"Wayne County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,671","9.1%","6.6%","12.7%","9.1%","16.0%","14.5%","15.4%","10.7%","4.7%","1.3%","45,402","61,269","","42.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,921","5.7%","1.9%","7.6%","9.3%","17.4%","19.2%","17.0%","14.6%","6.4%","0.8%","64,403","72,176","","(X)","43.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,880","1.2%","0.8%","5.5%","9.1%","15.2%","18.0%","20.8%","19.5%","8.6%","1.1%","75,070","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,750","19.8%","17.0%","25.4%","7.0%","11.3%","6.9%","8.0%","2.2%","0.1%","2.4%","21,477","33,622","","(X)","(X)","39.8%"
"Weakley County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,213","8.4%","6.7%","13.2%","12.3%","15.3%","18.8%","11.2%","9.4%","2.7%","1.9%","43,773","59,560","","30.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,397","4.5%","2.9%","8.1%","9.7%","17.1%","21.7%","15.4%","13.6%","4.1%","2.9%","59,390","74,228","","(X)","31.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,567","1.2%","1.7%","6.0%","9.0%","16.2%","23.0%","18.2%","16.0%","5.2%","3.5%","67,981","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,816","15.4%","14.3%","23.0%","15.6%","12.8%","12.9%","3.8%","1.8%","0.2%","0.2%","23,493","33,038","","(X)","(X)","29.0%"
"White County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,306","6.5%","7.7%","11.8%","12.2%","15.8%","18.9%","12.7%","9.5%","2.8%","2.3%","44,777","59,670","","40.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,860","3.8%","2.4%","8.5%","13.1%","15.3%","19.8%","17.7%","12.6%","4.0%","2.7%","56,389","67,743","","(X)","38.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,133","1.9%","1.2%","4.0%","10.5%","13.5%","24.0%","21.4%","14.6%","5.3%","3.6%","67,689","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,446","14.1%","18.3%","20.6%","10.4%","14.7%","16.5%","2.3%","1.4%","0.3%","1.5%","22,378","40,814","","(X)","(X)","41.1%"
"Williamson County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","85,311","2.0%","1.3%","3.3%","3.3%","7.6%","12.9%","12.1%","20.0%","13.9%","23.6%","116,492","156,064","","32.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","66,539","0.7%","0.9%","1.9%","2.2%","5.1%","10.5%","12.4%","21.8%","16.2%","28.5%","134,793","176,320","","(X)","32.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","57,918","0.5%","0.3%","1.0%","1.5%","3.9%","9.0%","11.9%","22.5%","17.7%","31.8%","147,406","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","18,772","6.7%","3.2%","8.6%","8.1%","16.6%","21.4%","11.6%","14.0%","3.9%","5.9%","58,803","80,178","","(X)","(X)","33.2%"
"Wilson County, Tennessee","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","52,983","4.2%","2.6%","5.6%","5.8%","10.2%","16.7%","14.1%","22.2%","9.0%","9.7%","82,224","105,808","","34.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","39,381","2.4%","1.5%","3.2%","4.7%","8.0%","16.4%","15.3%","26.7%","10.2%","11.6%","96,752","113,497","","(X)","33.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","31,570","1.0%","1.5%","2.2%","2.9%","6.3%","14.2%","16.0%","29.9%","12.4%","13.7%","107,250","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,602","11.3%","6.0%","13.7%","10.3%","16.9%","17.1%","9.0%","7.8%","4.1%","3.8%","40,936","77,415","","(X)","(X)","35.0%"
"Anderson County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,477","5.8%","5.2%","10.8%","10.0%","18.6%","18.4%","12.7%","13.0%","2.9%","2.6%","49,736","64,877","","38.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,826","2.6%","3.4%","6.3%","10.9%","17.9%","20.7%","15.1%","15.8%","3.9%","3.5%","59,291","75,310","","(X)","39.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,299","1.0%","0.7%","3.4%","8.3%","16.8%","21.9%","17.0%","20.6%","5.4%","4.8%","72,455","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,651","14.5%","10.9%","23.1%","9.1%","18.1%","12.9%","5.9%","5.0%","0.2%","0.3%","25,958","35,390","","(X)","(X)","33.9%"
"Andrews County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,263","5.7%","2.7%","8.2%","6.9%","11.1%","13.7%","13.4%","20.6%","7.7%","10.0%","80,518","100,517","","43.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,916","4.2%","1.9%","5.9%","8.2%","8.6%","14.1%","15.2%","22.8%","8.0%","11.3%","90,521","106,991","","(X)","44.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,798","4.2%","1.7%","6.7%","5.8%","4.3%","12.5%","17.1%","23.6%","10.1%","14.0%","97,025","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,347","11.3%","7.1%","15.1%","2.2%","23.0%","17.2%","4.5%","12.5%","2.9%","4.2%","44,487","64,959","","(X)","(X)","32.7%"
"Angelina County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","31,151","5.9%","5.7%","10.3%","13.0%","13.2%","18.2%","13.9%","11.7%","5.3%","2.8%","52,377","66,650","","36.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","22,328","4.0%","3.1%","8.5%","11.9%","12.7%","20.5%","15.0%","14.0%","6.6%","3.7%","59,541","75,308","","(X)","36.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,810","1.1%","0.6%","5.0%","7.3%","12.5%","20.6%","19.3%","19.4%","8.7%","5.4%","79,054","90,963","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,823","12.7%","13.0%","17.5%","15.7%","13.1%","12.2%","8.2%","5.3%","2.0%","0.4%","28,093","41,002","","(X)","(X)","33.8%"
"Aransas County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,452","8.1%","5.4%","11.8%","8.9%","15.1%","16.4%","10.2%","13.7%","4.1%","6.3%","51,509","81,683","","36.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,507","6.7%","3.4%","8.8%","10.2%","9.9%","15.3%","12.3%","19.4%","4.9%","9.1%","68,095","100,579","","(X)","37.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,059","5.0%","1.0%","7.3%","8.1%","9.3%","16.5%","14.2%","21.0%","6.0%","11.7%","81,707","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,945","13.2%","9.3%","16.8%","11.4%","21.2%","17.0%","2.8%","4.2%","2.5%","1.6%","34,338","47,009","","(X)","(X)","27.8%"
"Archer County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,371","4.2%","5.4%","9.8%","8.3%","11.7%","14.5%","15.6%","15.2%","8.0%","7.2%","67,083","89,349","","42.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,362","2.6%","2.8%","3.6%","7.8%","9.9%","15.5%","18.0%","20.4%","10.8%","8.8%","86,597","107,787","","(X)","43.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,900","0.4%","2.4%","2.1%","6.5%","7.8%","12.6%","20.0%","25.1%","12.5%","10.7%","96,354","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,009","9.1%","12.5%","24.4%","13.1%","14.6%","8.9%","9.4%","3.4%","1.3%","3.4%","26,446","43,927","","(X)","(X)","39.2%"
"Armstrong County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","708","4.1%","1.6%","7.3%","3.4%","12.7%","23.0%","16.8%","20.9%","5.5%","4.7%","71,136","84,193","","44.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","563","2.1%","0.9%","2.1%","3.7%","13.0%","23.6%","19.7%","22.0%","6.9%","5.9%","80,433","93,222","","(X)","45.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","479","2.3%","1.0%","1.3%","3.3%","13.8%","18.4%","19.6%","25.3%","8.1%","6.9%","87,670","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","145","11.7%","4.1%","27.6%","2.1%","16.6%","22.1%","5.5%","10.3%","0.0%","0.0%","38,906","44,600","","(X)","(X)","42.8%"
"Atascosa County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,899","5.7%","3.2%","9.3%","11.1%","11.3%","18.1%","13.7%","17.9%","3.9%","5.7%","63,391","78,218","","37.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,047","2.0%","2.0%","8.1%","9.2%","9.9%","20.0%","16.0%","21.5%","4.7%","6.6%","73,025","87,673","","(X)","39.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,392","0.9%","0.7%","6.5%","6.9%","8.9%","16.4%","17.7%","26.9%","6.0%","9.1%","89,074","101,292","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,852","18.4%","8.0%","16.1%","16.1%","15.4%","11.3%","5.6%","6.0%","0.0%","3.2%","29,587","43,994","","(X)","(X)","29.1%"
"Austin County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,841","4.1%","2.8%","11.0%","6.4%","13.2%","16.0%","16.0%","18.0%","5.3%","7.2%","68,400","84,574","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,852","2.3%","1.2%","10.0%","4.3%","12.6%","15.0%","17.5%","22.3%","6.7%","8.1%","82,548","94,521","","(X)","41.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,101","0.8%","1.0%","7.1%","4.1%","12.6%","15.1%","16.1%","25.0%","8.1%","10.0%","86,884","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,989","13.2%","7.9%","17.9%","13.3%","12.8%","17.5%","9.3%","3.3%","0.4%","4.3%","33,009","48,969","","(X)","(X)","32.5%"
"Bailey County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,952","4.8%","6.5%","6.5%","9.5%","14.8%","19.4%","10.9%","20.0%","5.2%","2.4%","64,044","74,148","","33.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,372","2.1%","0.4%","3.1%","8.5%","16.7%","19.0%","15.5%","24.0%","7.7%","3.1%","75,123","89,089","","(X)","38.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","934","1.2%","0.0%","4.5%","3.9%","11.5%","17.7%","10.3%","35.2%","11.3%","4.5%","100,112","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","580","11.2%","21.0%","14.5%","12.1%","10.3%","23.1%","0.0%","7.8%","0.0%","0.0%","26,159","35,069","","(X)","(X)","24.3%"
"Bandera County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,383","4.4%","3.7%","10.7%","7.9%","9.5%","20.7%","15.7%","14.4%","7.3%","5.7%","64,495","84,354","","31.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,700","3.6%","3.4%","6.8%","5.2%","7.3%","22.9%","17.2%","16.5%","9.2%","7.9%","77,725","96,105","","(X)","28.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,701","2.8%","2.2%","6.3%","2.7%","6.0%","23.8%","19.0%","18.0%","10.8%","8.4%","81,635","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,683","6.3%","4.1%","18.9%","15.0%","15.5%","15.4%","11.1%","9.2%","3.4%","1.0%","42,628","56,627","","(X)","(X)","38.3%"
"Bastrop County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","31,271","4.2%","3.6%","6.5%","6.4%","11.5%","15.5%","16.1%","19.5%","9.4%","7.3%","78,339","92,057","","46.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","23,150","3.7%","1.2%","5.0%","6.0%","8.9%","15.6%","18.1%","22.0%","11.5%","8.0%","88,509","100,784","","(X)","49.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","17,758","1.7%","0.3%","3.8%","5.4%","6.4%","14.2%","18.8%","26.6%","14.2%","8.6%","98,848","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,121","7.1%","10.9%","12.0%","8.9%","20.8%","13.3%","10.4%","9.5%","3.6%","3.5%","43,038","60,471","","(X)","(X)","36.1%"
"Baylor County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,509","5.1%","12.0%","13.4%","10.2%","17.6%","12.7%","13.0%","10.0%","1.7%","4.3%","43,705","59,974","","36.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","946","4.9%","3.2%","5.6%","8.1%","18.6%","18.4%","17.9%","13.8%","2.6%","6.9%","60,208","78,550","","(X)","33.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","775","0.9%","0.6%","4.4%","5.9%","15.6%","22.5%","21.8%","16.6%","3.2%","8.4%","75,313","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","563","5.5%","27.4%","26.5%","18.7%","11.7%","2.0%","4.8%","3.6%","0.0%","0.0%","20,904","28,104","","(X)","(X)","35.9%"
"Bee County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,497","9.4%","4.7%","15.8%","7.4%","13.9%","20.4%","10.0%","10.1%","5.0%","3.1%","48,822","65,876","","36.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,586","6.2%","2.1%","11.1%","7.5%","14.5%","20.2%","12.4%","14.3%","7.0%","4.7%","62,127","80,123","","(X)","37.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,954","4.4%","0.7%","6.7%","6.1%","12.0%","20.9%","16.0%","18.0%","9.6%","5.7%","74,662","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,911","16.6%","10.3%","24.8%","7.5%","11.4%","20.9%","4.8%","2.4%","1.0%","0.2%","24,599","36,647","","(X)","(X)","33.4%"
"Bell County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","130,523","6.0%","4.2%","9.4%","9.6%","13.7%","19.6%","13.6%","15.1%","5.1%","3.8%","57,932","75,372","","29.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","88,139","4.1%","2.4%","6.6%","9.0%","12.7%","19.4%","16.1%","18.5%","6.5%","4.8%","69,582","86,240","","(X)","30.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","61,515","1.5%","0.9%","3.8%","7.0%","10.3%","19.5%","18.4%","23.5%","8.8%","6.4%","82,448","101,791","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","42,384","10.9%","8.0%","15.9%","12.1%","16.5%","20.4%","8.1%","5.1%","1.9%","1.1%","37,994","47,851","","(X)","(X)","24.4%"
"Bexar County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","717,124","6.4%","3.9%","8.4%","9.4%","12.4%","18.6%","12.5%","15.3%","6.6%","6.4%","62,169","84,133","","33.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","472,090","4.2%","2.3%","6.6%","7.7%","11.5%","18.2%","14.2%","18.4%","8.6%","8.4%","74,369","97,569","","(X)","35.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","317,760","1.7%","1.0%","4.3%","5.2%","9.0%","17.6%","15.5%","22.8%","11.5%","11.4%","92,575","116,850","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","245,034","12.0%","7.3%","12.7%","13.1%","15.4%","19.2%","8.5%","7.7%","2.2%","2.0%","39,635","53,603","","(X)","(X)","26.9%"
"Blanco County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,749","3.3%","5.8%","6.5%","6.9%","11.7%","20.4%","13.9%","19.5%","5.3%","6.7%","71,201","94,758","","30.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,306","1.6%","4.9%","4.7%","4.7%","8.8%","23.2%","16.8%","20.3%","6.0%","8.9%","79,056","108,454","","(X)","31.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,667","1.6%","4.3%","4.0%","1.3%","7.7%","21.9%","17.8%","23.7%","7.5%","10.2%","95,029","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,443","7.0%","8.4%","12.9%","11.9%","17.5%","14.9%","5.1%","17.2%","3.5%","1.6%","42,580","61,268","","(X)","(X)","27.6%"
"Borden County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","196","0.0%","4.1%","5.6%","9.2%","16.3%","23.0%","8.2%","21.9%","5.6%","6.1%","68,500","96,167","","29.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","145","0.0%","2.8%","0.0%","9.0%","21.4%","20.7%","4.8%","29.7%","7.6%","4.1%","73,854","94,323","","(X)","31.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","124","0.0%","0.0%","0.0%","3.2%","21.8%","22.6%","5.6%","34.7%","7.3%","4.8%","78,750","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","51","0.0%","7.8%","21.6%","9.8%","2.0%","29.4%","17.6%","0.0%","0.0%","11.8%","58,281","101,408","","(X)","(X)","23.5%"
"Bosque County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,037","3.8%","3.4%","9.3%","10.5%","13.3%","23.6%","13.3%","15.2%","4.2%","3.5%","59,328","73,128","","40.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,062","1.6%","2.1%","5.7%","9.6%","12.3%","24.4%","15.9%","18.8%","5.6%","3.9%","66,842","82,843","","(X)","42.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,044","0.4%","0.8%","4.7%","6.8%","12.0%","23.7%","18.6%","22.0%","6.3%","4.6%","77,500","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,975","10.0%","9.2%","20.4%","13.2%","15.2%","18.4%","7.2%","4.2%","0.0%","2.1%","33,513","44,231","","(X)","(X)","31.6%"
"Bowie County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","33,983","8.9%","5.3%","11.3%","8.5%","11.9%","16.9%","12.7%","14.3%","5.6%","4.5%","54,949","75,703","","38.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","22,367","5.3%","2.0%","7.7%","6.6%","11.3%","18.9%","16.3%","19.7%","6.3%","5.8%","72,674","90,527","","(X)","41.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","15,273","1.5%","0.2%","3.0%","3.8%","11.3%","19.3%","18.1%","25.6%","8.9%","8.1%","90,966","110,796","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,616","16.7%","12.3%","18.4%","12.8%","14.0%","12.9%","6.3%","2.9%","1.5%","2.1%","27,561","42,580","","(X)","(X)","31.3%"
"Brazoria County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","124,284","3.3%","2.3%","5.5%","6.6%","9.1%","16.3%","13.7%","20.3%","11.2%","11.7%","87,958","108,492","","32.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","91,289","2.2%","1.1%","3.6%","5.0%","7.4%","15.9%","14.2%","22.1%","13.8%","14.8%","101,302","122,762","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","71,280","1.2%","0.8%","1.7%","3.5%","5.8%","14.4%","13.7%","24.0%","16.5%","18.5%","118,881","137,581","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","32,995","7.5%","5.7%","12.0%","12.3%","13.8%","17.8%","11.3%","13.9%","3.3%","2.5%","48,595","63,789","","(X)","(X)","25.4%"
"Brazos County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","83,627","11.2%","5.2%","10.1%","8.7%","12.4%","16.5%","10.8%","12.9%","5.7%","6.5%","52,658","78,445","","34.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","46,372","4.8%","3.1%","6.7%","5.8%","10.7%","17.8%","13.3%","18.3%","9.4%","10.1%","76,765","104,401","","(X)","35.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","32,797","1.3%","0.9%","3.3%","4.1%","7.5%","18.3%","15.0%","23.0%","12.8%","13.9%","99,475","128,066","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","37,255","20.1%","8.0%","14.1%","12.9%","14.7%","15.1%","7.1%","5.4%","1.1%","1.5%","30,542","43,975","","(X)","(X)","32.7%"
"Brewster County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,706","7.3%","12.1%","5.1%","8.1%","19.5%","15.4%","11.0%","11.5%","7.1%","2.7%","48,679","67,997","","24.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,485","3.4%","5.0%","3.5%","9.7%","17.0%","14.2%","15.1%","16.3%","11.2%","4.5%","69,459","89,268","","(X)","27.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
