"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"Buckingham County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,948","8.4%","5.0%","12.1%","12.1%","13.8%","19.0%","13.4%","12.2%","2.8%","1.3%","48,603","61,492","","44.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,037","3.7%","2.9%","10.6%","10.9%","12.8%","18.7%","17.9%","16.7%","3.9%","1.9%","61,702","73,766","","(X)","47.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,772","1.8%","1.5%","5.1%","9.6%","11.5%","20.7%","21.2%","21.0%","5.1%","2.3%","74,565","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,911","18.5%","9.2%","22.1%","17.0%","13.2%","14.1%","3.9%","1.5%","0.5%","0.0%","25,274","31,795","","(X)","(X)","33.8%"
"Campbell County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","23,157","5.6%","4.7%","10.1%","11.7%","15.1%","20.8%","12.4%","13.1%","4.5%","2.0%","52,319","66,223","","39.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,234","3.6%","1.8%","7.0%","8.3%","14.9%","21.7%","15.4%","18.1%","6.3%","2.8%","64,131","79,397","","(X)","38.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,428","1.1%","1.2%","3.4%","5.7%","15.1%","22.4%","17.7%","21.9%","7.7%","3.7%","76,099","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,923","10.5%","10.7%","17.6%","18.1%","15.6%","19.1%","4.1%","3.1%","0.9%","0.3%","30,313","38,395","","(X)","(X)","38.1%"
"Caroline County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,978","3.9%","1.9%","6.2%","5.4%","16.1%","21.3%","14.3%","17.2%","6.7%","7.1%","67,901","92,193","","34.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,911","3.0%","0.8%","3.9%","3.1%","12.9%","22.8%","15.8%","21.3%","8.9%","7.4%","82,627","103,856","","(X)","33.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,627","0.2%","0.2%","1.7%","2.7%","6.1%","24.8%","18.3%","25.4%","11.9%","8.8%","96,194","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,067","7.5%","5.6%","11.9%","10.3%","25.7%","19.0%","9.0%","5.6%","1.8%","3.4%","40,024","56,844","","(X)","(X)","37.2%"
"Carroll County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,134","6.9%","7.5%","13.7%","10.0%","17.8%","19.3%","12.6%","10.0%","0.9%","1.3%","44,518","56,730","","35.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,963","2.2%","3.2%","9.6%","7.8%","20.7%","24.9%","16.3%","13.1%","1.2%","0.9%","55,304","65,184","","(X)","32.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,298","0.8%","2.4%","7.8%","6.8%","19.5%","25.4%","19.5%","15.3%","1.5%","1.0%","61,849","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,171","17.5%","15.9%","21.5%","12.9%","13.0%","10.8%","4.5%","1.9%","0.2%","1.6%","21,894","37,947","","(X)","(X)","39.1%"
"Charles City County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,998","7.7%","5.4%","8.5%","6.5%","12.9%","16.9%","19.4%","15.7%","3.3%","3.6%","60,096","82,622","","36.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,892","4.5%","3.0%","4.7%","5.2%","13.0%","16.1%","22.8%","20.7%","5.0%","5.2%","78,345","101,615","","(X)","41.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,395","3.2%","0.9%","2.4%","3.3%","9.4%","16.7%","26.0%","25.1%","6.0%","7.0%","88,194","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,106","14.6%","10.1%","15.4%","9.0%","14.3%","18.2%","13.7%","3.7%","0.5%","0.6%","35,694","45,120","","(X)","(X)","27.8%"
"Charlotte County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,836","11.4%","6.8%","12.9%","13.5%","11.4%","19.6%","8.2%","11.4%","2.4%","2.3%","40,924","59,219","","35.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,013","6.0%","4.0%","10.9%","12.2%","9.6%","23.4%","11.7%","15.5%","3.8%","2.9%","58,939","71,167","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,057","0.0%","0.6%","7.5%","11.8%","8.9%","28.5%","13.5%","21.1%","5.2%","3.0%","69,126","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,823","23.6%","11.6%","16.2%","17.6%","14.8%","12.0%","2.2%","0.3%","0.3%","1.5%","23,528","34,318","","(X)","(X)","29.8%"
"Chesterfield County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","127,230","2.6%","2.1%","4.7%","6.6%","10.1%","18.4%","14.2%","21.6%","10.2%","9.5%","84,645","114,567","","34.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","92,424","1.8%","0.9%","2.5%","5.4%","7.9%","17.3%","15.0%","25.2%","12.6%","11.3%","97,941","119,713","","(X)","34.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","70,383","0.7%","0.4%","1.4%","3.2%","5.3%","14.1%","15.6%","29.8%","15.5%","14.1%","112,112","135,491","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","34,806","5.4%","5.3%","11.3%","11.4%","16.9%","21.4%","11.4%","10.2%","2.9%","3.9%","49,748","95,623","","(X)","(X)","32.3%"
"Clarke County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,690","4.3%","2.2%","5.3%","7.5%","9.6%","14.3%","11.0%","23.1%","12.5%","10.2%","86,154","107,165","","35.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,961","1.0%","0.6%","3.9%","5.8%","6.1%","12.8%","11.7%","27.5%","16.8%","13.7%","113,322","125,581","","(X)","35.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,372","0.2%","0.4%","1.5%","5.4%","5.0%","10.9%","11.8%","30.1%","19.2%","15.4%","120,921","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,729","13.2%","4.9%","9.2%","11.4%","17.8%","20.5%","10.6%","8.8%","1.3%","2.2%","41,570","60,860","","(X)","(X)","31.4%"
"Craig County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,219","5.9%","5.2%","12.2%","6.4%","16.5%","11.6%","18.8%","15.2%","7.1%","1.0%","57,792","67,813","","40.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,514","3.5%","0.0%","4.9%","3.6%","18.0%","12.4%","24.4%","21.2%","11.9%","0.0%","82,083","84,242","","(X)","46.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,300","0.0%","0.0%","3.2%","3.8%","15.3%","14.4%","24.8%","24.7%","13.8%","0.0%","87,818","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","705","13.0%","15.9%","26.4%","12.3%","13.3%","9.9%","6.8%","2.3%","0.0%","0.0%","21,360","31,885","","(X)","(X)","27.8%"
"Culpeper County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,474","3.2%","2.6%","7.7%","5.8%","9.6%","16.9%","16.9%","20.0%","10.4%","6.9%","80,663","107,669","","36.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,040","1.3%","1.0%","4.7%","4.0%","10.2%","16.8%","18.0%","23.6%","12.7%","7.6%","90,492","105,569","","(X)","37.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,697","0.6%","0.5%","2.7%","2.8%","5.6%","16.5%","19.0%","25.6%","16.6%","10.0%","102,964","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,434","9.7%","7.2%","18.4%","10.4%","11.8%","19.3%","12.8%","4.6%","1.6%","4.2%","43,386","104,989","","(X)","(X)","31.4%"
"Cumberland County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,112","5.6%","6.9%","6.9%","9.1%","21.2%","18.8%","12.6%","12.8%","3.2%","2.9%","50,565","68,333","","37.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,607","1.9%","3.0%","4.4%","8.9%","22.5%","18.2%","16.2%","16.8%","3.5%","4.6%","62,313","81,498","","(X)","38.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,963","0.9%","0.4%","4.0%","4.6%","25.7%","17.6%","18.3%","20.6%","4.7%","3.2%","70,804","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,505","12.2%","13.6%","12.0%","10.7%","19.6%","18.9%","4.5%","5.8%","2.7%","0.0%","36,108","44,308","","(X)","(X)","37.5%"
"Dickenson County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,727","13.8%","11.5%","18.6%","11.4%","13.7%","11.9%","9.2%","7.1%","1.3%","1.4%","30,116","54,966","","47.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,707","7.3%","9.8%","13.2%","11.0%","16.6%","15.9%","11.7%","10.3%","2.1%","2.2%","41,250","71,708","","(X)","43.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,667","4.6%","6.1%","8.5%","13.2%","16.5%","18.9%","12.6%","13.9%","2.7%","3.0%","51,440","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,020","26.3%","15.0%","27.9%","13.3%","10.0%","6.5%","0.2%","0.7%","0.0%","0.0%","18,348","21,480","","(X)","(X)","52.9%"
"Dinwiddie County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,403","6.1%","3.5%","7.3%","10.8%","10.4%","18.6%","14.3%","16.9%","5.8%","6.5%","65,485","80,760","","42.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,114","4.5%","0.7%","3.1%","10.4%","9.4%","17.7%","16.9%","21.0%","7.8%","8.6%","80,819","95,583","","(X)","46.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,279","0.9%","0.0%","1.8%","7.7%","7.0%","18.2%","19.9%","27.0%","8.5%","9.0%","94,602","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,289","10.1%","10.4%","16.4%","13.1%","15.3%","19.1%","9.5%","5.2%","0.8%","0.2%","34,995","42,756","","(X)","(X)","34.4%"
"Essex County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,551","7.6%","5.7%","11.8%","8.8%","15.4%","20.1%","15.6%","9.1%","4.1%","1.7%","51,125","59,612","","40.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,891","4.3%","1.6%","12.4%","8.6%","12.8%","23.4%","17.8%","10.7%","5.7%","2.6%","60,506","69,016","","(X)","40.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,104","2.0%","2.2%","7.6%","4.8%","10.6%","28.9%","19.1%","14.0%","7.1%","3.6%","69,177","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,660","16.8%","12.9%","12.0%","7.9%","21.7%","12.5%","8.4%","6.4%","1.3%","0.1%","35,172","40,175","","(X)","(X)","40.5%"
"Fairfax County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","398,653","2.7%","1.2%","2.9%","3.7%","6.0%","10.7%","11.3%","20.0%","15.1%","26.5%","127,866","163,072","","27.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","281,773","1.7%","0.8%","2.1%","3.1%","4.9%","8.6%","9.8%","19.1%","16.8%","33.0%","149,576","185,183","","(X)","28.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","230,661","0.7%","0.6%","1.1%","2.2%","4.0%","7.2%","8.6%","19.2%","18.2%","38.2%","166,055","203,823","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","116,880","5.7%","2.4%","5.1%","5.7%","9.1%","16.4%","15.0%","21.2%","10.5%","8.9%","83,585","103,450","","(X)","(X)","23.3%"
"Fauquier County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","24,617","2.4%","1.6%","4.1%","3.8%","7.8%","14.9%","13.1%","20.3%","14.3%","17.7%","105,665","132,390","","37.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","18,099","1.2%","0.8%","2.3%","3.0%","5.9%","11.7%","13.9%","21.8%","18.1%","21.4%","127,557","150,135","","(X)","38.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,315","0.7%","0.3%","1.6%","2.7%","3.8%","9.4%","12.8%","22.1%","20.5%","26.1%","142,558","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,518","7.0%","3.5%","9.2%","6.6%","15.0%","24.6%","12.0%","13.3%","4.0%","4.7%","58,408","73,892","","(X)","(X)","32.5%"
"Floyd County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,657","7.3%","6.5%","12.2%","7.8%","14.6%","17.7%","15.0%","15.1%","2.6%","1.3%","51,250","62,064","","39.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,416","2.7%","1.2%","7.1%","7.2%","17.6%","24.0%","15.9%","20.0%","2.7%","1.6%","63,378","72,183","","(X)","33.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,608","1.8%","0.3%","4.3%","7.0%","14.9%","26.5%","17.2%","22.8%","3.3%","1.9%","72,781","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,241","18.3%","15.7%","22.2%","9.1%","12.2%","7.2%","10.0%","2.3%","2.4%","0.7%","21,961","37,190","","(X)","(X)","44.8%"
"Fluvanna County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,967","2.8%","2.0%","6.6%","5.2%","12.5%","16.8%","20.3%","17.6%","7.0%","9.2%","78,885","111,320","","34.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,131","1.5%","0.2%","3.0%","3.2%","10.2%","16.4%","24.0%","22.5%","8.1%","11.0%","89,487","130,060","","(X)","36.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,685","0.6%","0.0%","1.8%","2.5%","5.0%","15.6%","26.2%","27.4%","9.7%","11.2%","98,184","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,836","6.6%","6.5%","16.5%","11.5%","20.6%","15.7%","12.3%","3.4%","2.5%","4.5%","42,273","59,860","","(X)","(X)","30.0%"
"Franklin County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","22,730","6.7%","6.8%","9.2%","7.6%","14.0%","19.8%","12.3%","13.4%","5.5%","4.7%","56,779","76,134","","43.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,475","4.3%","3.5%","7.3%","5.7%","11.8%","22.8%","14.7%","16.5%","7.8%","5.6%","68,848","88,924","","(X)","42.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,007","2.7%","2.6%","5.0%","5.0%","10.1%","23.5%","16.5%","18.8%","9.7%","6.1%","76,482","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,255","12.7%","13.8%","13.5%","12.4%","19.0%","13.7%","7.5%","5.2%","0.9%","1.3%","33,117","44,010","","(X)","(X)","43.6%"
"Frederick County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","32,094","2.4%","2.4%","5.3%","5.8%","11.5%","19.2%","15.6%","20.4%","10.0%","7.3%","80,011","98,848","","31.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","23,191","1.1%","1.3%","2.5%","5.4%","10.5%","17.0%","17.0%","23.6%","12.5%","9.1%","92,796","110,667","","(X)","31.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,364","0.3%","0.8%","1.6%","4.1%","7.7%","16.9%","17.0%","26.1%","14.8%","10.7%","102,995","121,218","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,903","6.1%","6.2%","13.9%","7.4%","15.4%","24.4%","13.1%","9.4%","2.7%","1.4%","50,861","58,588","","(X)","(X)","28.1%"
"Giles County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,715","4.9%","3.5%","11.6%","9.5%","11.2%","28.8%","12.3%","13.3%","3.3%","1.6%","57,279","65,360","","36.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,375","2.0%","1.9%","6.6%","8.6%","11.5%","30.0%","15.9%","17.1%","4.0%","2.3%","63,276","75,612","","(X)","41.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,419","0.7%","1.6%","5.5%","7.5%","9.0%","30.4%","17.4%","20.5%","4.5%","2.8%","71,568","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,340","11.7%","6.5%","20.8%","11.3%","13.4%","22.8%","5.8%","5.3%","2.2%","0.3%","34,667","43,965","","(X)","(X)","28.9%"
"Gloucester County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,792","3.3%","2.0%","5.9%","8.8%","12.2%","19.7%","17.5%","17.7%","7.9%","5.0%","71,649","85,449","","34.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,259","3.1%","0.7%","4.0%","3.4%","9.8%","20.8%","20.9%","20.3%","11.1%","5.9%","84,008","97,027","","(X)","35.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,195","1.4%","0.5%","1.6%","3.1%","7.6%","20.0%","22.6%","22.8%","13.7%","6.6%","92,968","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,533","4.8%","4.9%","12.9%","20.2%","16.5%","18.6%","8.8%","10.8%","0.7%","1.9%","41,853","55,255","","(X)","(X)","29.1%"
"Goochland County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,711","3.7%","4.0%","4.6%","3.8%","6.3%","15.3%","13.3%","20.5%","10.2%","18.4%","97,146","139,115","","33.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,600","0.5%","1.1%","2.8%","2.1%","5.9%","13.1%","16.3%","23.3%","13.0%","21.8%","113,983","162,344","","(X)","34.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,839","0.5%","1.0%","0.1%","0.7%","4.4%","11.8%","17.6%","25.4%","13.9%","24.6%","127,007","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,111","13.8%","13.3%","10.7%","8.4%","8.3%","20.9%","6.0%","10.2%","0.7%","7.7%","46,781","64,735","","(X)","(X)","29.4%"
"Grayson County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,388","7.5%","6.6%","16.1%","13.4%","16.6%","18.2%","9.6%","8.6%","1.7%","1.8%","41,558","57,643","","38.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,328","3.7%","2.9%","10.0%","11.1%","18.3%","24.3%","13.2%","11.6%","2.4%","2.4%","54,596","71,143","","(X)","37.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,479","0.5%","1.8%","7.3%","11.0%","19.9%","25.1%","15.8%","12.6%","3.0%","3.0%","59,094","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,060","15.8%","14.5%","29.2%","17.9%","13.1%","6.5%","0.9%","1.7%","0.0%","0.4%","19,555","28,162","","(X)","(X)","39.3%"
"Greene County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,491","2.6%","2.4%","7.6%","7.5%","9.8%","25.7%","12.4%","18.3%","9.7%","4.0%","67,266","86,982","","29.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,372","1.1%","2.2%","5.4%","6.0%","9.6%","22.6%","13.0%","21.9%","13.2%","5.0%","79,066","96,384","","(X)","29.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,297","1.0%","0.9%","1.6%","4.6%","9.4%","22.1%","13.7%","25.4%","15.1%","6.2%","91,287","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,119","6.3%","3.0%","15.7%","11.3%","11.1%","32.1%","10.0%","9.1%","0.0%","1.4%","52,040","60,486","","(X)","(X)","26.7%"
"Greensville County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,441","6.1%","5.8%","13.2%","13.1%","11.9%","24.6%","9.9%","9.0%","4.0%","2.3%","49,756","62,025","","43.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,142","4.8%","2.2%","6.3%","10.0%","12.5%","25.5%","15.3%","13.3%","6.4%","3.7%","62,206","79,369","","(X)","41.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,439","0.1%","2.7%","8.3%","8.0%","11.2%","26.6%","19.4%","16.2%","3.5%","4.0%","68,237","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,299","12.2%","12.1%","20.9%","18.2%","12.5%","21.2%","1.0%","1.9%","0.0%","0.0%","27,236","32,552","","(X)","(X)","46.7%"
"Halifax County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,155","9.7%","7.8%","12.4%","11.9%","14.4%","16.1%","12.3%","11.9%","1.9%","1.6%","43,714","57,265","","38.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,041","4.9%","3.1%","7.8%","11.5%","15.5%","20.3%","14.6%","18.0%","2.5%","1.9%","60,752","69,539","","(X)","40.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,167","3.0%","1.7%","4.8%","9.5%","11.4%","21.8%","18.5%","23.8%","3.4%","2.0%","72,331","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,114","18.8%","16.3%","21.1%","12.8%","15.7%","7.8%","5.1%","1.1%","0.7%","0.6%","21,613","32,611","","(X)","(X)","33.5%"
"Hanover County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","39,226","2.2%","2.0%","5.7%","6.3%","9.0%","15.8%","13.8%","22.5%","11.7%","11.0%","91,444","113,421","","32.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","28,848","1.2%","0.5%","2.8%","3.6%","6.8%","15.3%","15.2%","26.4%","14.5%","13.8%","108,375","128,016","","(X)","30.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","23,841","0.8%","0.3%","1.6%","1.9%","5.0%","13.7%","15.3%","28.5%","16.7%","16.2%","119,650","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","10,378","5.2%","6.2%","14.3%","14.4%","15.3%","18.6%","9.4%","9.5%","3.7%","3.5%","44,014","70,085","","(X)","(X)","35.4%"
"Henrico County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","130,434","3.8%","3.3%","7.1%","7.2%","13.6%","16.4%","13.0%","17.6%","7.4%","10.7%","72,295","101,249","","32.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","82,894","2.3%","1.6%","4.2%","5.2%","10.5%","15.0%","13.9%","21.8%","10.1%","15.3%","94,680","124,758","","(X)","33.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","59,013","0.9%","0.7%","1.8%","3.1%","6.2%","12.3%","15.0%","26.3%","12.9%","20.8%","115,834","150,258","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","47,540","6.7%","6.5%","12.6%","11.2%","19.8%","18.8%","10.7%","9.1%","2.3%","2.4%","44,003","57,588","","(X)","(X)","29.7%"
"Henry County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,012","7.5%","9.5%","13.2%","15.5%","15.1%","17.6%","9.4%","8.8%","1.8%","1.6%","38,511","51,853","","42.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,198","4.2%","3.8%","8.2%","15.7%","15.4%","22.7%","14.0%","10.6%","3.0%","2.3%","52,130","64,149","","(X)","44.9%","(X)"
